objective,metric,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,trial_number,training_score
binary,average_precision,-1,gbdt,48,20,0.13469395895981295,0.893369982199754,0.9698411732845882,7,19,8.074916549163714,7.677259366325963e-08,cpu,42,27.580278281911674,0.8549011779982058,0,0.9755779019294655
binary,average_precision,-1,gbdt,201,13,0.054268370168292245,0.8896221114380696,0.8367294570606278,4,88,0.008705389902900533,6.314016489936003e-05,cpu,42,27.580278281911674,0.8933500372994152,1,0.9985978519889365
binary,average_precision,-1,gbdt,180,13,0.1526659527840139,0.7506021410380305,0.9538319208630137,6,89,6.171795651882586,1.2577704074924861e-05,cpu,42,27.580278281911674,0.901292107984825,2,0.9999999597327381
binary,average_precision,-1,gbdt,77,12,0.05138456258167376,0.7123635904279471,0.7809526001486653,2,77,9.357587763820394e-06,0.045216967551703846,cpu,42,27.580278281911674,0.8332828998496641,3,0.9424108377106282
binary,average_precision,-1,gbdt,96,19,0.21096916324069737,0.690783194977565,0.8513434285976023,10,82,8.133444373387645e-07,3.024636894246949,cpu,42,27.580278281911674,0.8939739513733711,4,0.9999989559363524
binary,average_precision,-1,gbdt,73,10,0.15723385900327802,0.9237471641420342,0.7027067965972331,5,40,4.020875950488773e-07,0.0010941654367263146,cpu,42,27.580278281911674,0.8772638859742355,5,0.998362858066048
binary,average_precision,-1,gbdt,158,15,0.059549779818931024,0.8352130355572898,0.7798405549404552,4,44,1.576071522257025e-07,1.5993396656525592e-05,cpu,42,27.580278281911674,0.8889419134840019,6,0.9975990872999507
binary,average_precision,-1,gbdt,151,20,0.027096173376493667,0.7349947000091086,0.8391000649726635,7,32,0.04986331301090655,4.5013081194081755e-08,cpu,42,27.580278281911674,0.8510473755240622,7,0.9585412287504214
binary,average_precision,-1,gbdt,248,13,0.03955430407184866,0.7384558132239399,0.8339442760361839,4,42,0.041207260088475355,0.005479201149674753,cpu,42,27.580278281911674,0.8925464631603088,8,0.997789469518017
binary,average_precision,-1,gbdt,212,11,0.18619007602407384,0.9658895376002823,0.7881795871844359,4,14,1.0780539019931681e-05,4.370459093563869e-08,cpu,42,27.580278281911674,0.9036183408081211,9,1.0
binary,average_precision,-1,gbdt,253,16,0.010218913002263814,0.999774934508712,0.601447067238628,1,10,0.00014531878195465,6.508463122076458e-07,cpu,42,27.580278281911674,0.8063688499620364,10,0.9166651245162881
binary,average_precision,-1,gbdt,197,10,0.25766547832718073,0.6198787289147877,0.9793353881789721,7,65,6.54664957589384,3.0405929711152797e-06,cpu,42,27.580278281911674,0.8878340470925571,11,1.0
binary,average_precision,-1,gbdt,204,12,0.10528835925390317,0.805253688112042,0.9202368828716543,9,100,0.00037577339009190635,3.86627803752795e-08,cpu,42,27.580278281911674,0.9056208137211157,12,0.999999992681337
binary,average_precision,-1,gbdt,212,11,0.07901335769263801,0.9715314874875249,0.7169632097799808,9,63,0.00010262361114714202,1.361935204966226e-08,cpu,42,27.580278281911674,0.8929731677618697,13,0.999927365591037
binary,average_precision,-1,gbdt,114,15,0.09935323913938128,0.8188935448564675,0.8947640654544864,9,99,1.926673712307439e-08,4.1349196562594397e-07,cpu,42,27.580278281911674,0.8943869589778193,14,0.9990204093749928
