n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,93,17,0.07093807431566478,0.6620839099624509,0.9585739569476259,1,71,6.203166917167362e-07,1.0756584701882994,cpu,42,27.580278281911674,0.3319401356684155,0.34062342998004186,"[np.float64(0.3220250707188206), np.float64(0.34527097950200414), np.float64(0.3285243567844219)]",0.00979264104067523
300,binary,-1,gbdt,200,20,0.02213942620784039,0.7084122784116766,0.6510218495056791,10,85,2.1877029533874874,1.529226632695873e-06,cpu,42,27.580278281911674,0.5216533742761759,0.5685959054485861,"[np.float64(0.5126733223474595), np.float64(0.5423891094962733), np.float64(0.5098976909847949)]",0.014706100065479451
300,binary,-1,gbdt,169,18,0.04532759025006359,0.7392225181778753,0.6631610389676615,9,65,6.999115321095934e-06,2.9138916689886513e-05,cpu,42,27.580278281911674,0.41466368682952776,0.442812239024144,"[np.float64(0.40288895202663344), np.float64(0.4328697451570499), np.float64(0.40823236330490004)]",0.013057141874367186
300,binary,-1,gbdt,89,15,0.014325993712017525,0.8991355346598835,0.613808350529795,6,67,1.370428170083542,3.0581059760519915,cpu,42,27.580278281911674,0.46527460780749047,0.4865044151001907,"[np.float64(0.4677545858725987), np.float64(0.46075456032787804), np.float64(0.46731467722199455)]",0.003201197881906279
300,binary,-1,gbdt,226,13,0.012386275753916366,0.8639077193997138,0.9196933078179506,8,74,5.4558466748863e-07,0.0035849946558852925,cpu,42,27.580278281911674,0.5632177250079126,0.6260624763481132,"[np.float64(0.5646311412326945), np.float64(0.5604806389067228), np.float64(0.5645413948843201)]",0.0019357589115995828
300,binary,-1,gbdt,79,16,0.02199793372430566,0.6036093050873635,0.8870168282913238,10,41,0.7349835206480803,0.00042706869918888735,cpu,42,27.580278281911674,0.4457024986732081,0.46341519328781766,"[np.float64(0.4419736322315455), np.float64(0.4362667004315261), np.float64(0.4588671633565527)]",0.00959595625984173
300,binary,-1,gbdt,37,16,0.14475207065523218,0.6640783740638379,0.8970883133887084,4,16,2.4539599659446995e-07,3.677030762210195,cpu,42,27.580278281911674,0.28635454932673987,0.2896831219143136,"[np.float64(0.2903384857367737), np.float64(0.2903750922352826), np.float64(0.27835007000816336)]",0.005660041335542379
300,binary,-1,gbdt,237,11,0.05603167925534121,0.9374072848050158,0.9560071924047674,10,17,1.5092406153829141e-07,0.0031388196958393615,cpu,42,27.580278281911674,0.4169917827858865,0.4524964368025584,"[np.float64(0.4212872926873959), np.float64(0.41124061559655506), np.float64(0.4184474400737085)]",0.0042287219303708086
300,binary,-1,gbdt,210,10,0.028741147086881698,0.8071788694569495,0.7269465496327915,3,72,0.0006565599469370162,4.160410380055886e-06,cpu,42,27.580278281911674,0.5239030504048111,0.5730105379590443,"[np.float64(0.5261625214392205), np.float64(0.5249767543618636), np.float64(0.520569875413349)]",0.002406110628270848
300,binary,-1,gbdt,213,17,0.11563665497142138,0.996446742353483,0.6387885125086837,8,29,3.130636216398471e-05,0.021265613117300596,cpu,42,27.580278281911674,0.8598828387556745,0.9999989629150109,"[np.float64(0.8560862467013203), np.float64(0.8592580732049595), np.float64(0.8643041963607436)]",0.003383925052974649
300,binary,-1,gbdt,151,20,0.2526142905830488,0.9813952406326196,0.7891251887068605,7,41,0.001335121856446454,4.8393100200117596e-08,cpu,42,27.580278281911674,0.8424985016346401,0.9999999890246611,"[np.float64(0.8420040845295106), np.float64(0.838968783813681), np.float64(0.8465226365607287)]",0.00310360103067425
300,binary,-1,gbdt,150,20,0.259698138906928,0.9848058147349767,0.7983343453563984,7,41,0.0003788164723706638,5.726215537707779e-08,cpu,42,27.580278281911674,0.840621178132086,1.0,"[np.float64(0.8375385463737021), np.float64(0.838408846462819), np.float64(0.8459161415597372)]",0.0037609248717481833
300,binary,-1,gbdt,170,19,0.1390341505751142,0.9954606140600788,0.7783193913503998,6,39,0.015427360159758688,1.4198666458980878e-08,cpu,42,27.580278281911674,0.8666959773972405,1.0,"[np.float64(0.8631416265378439), np.float64(0.8655813993462828), np.float64(0.871364906307595)]",0.003448409847708281
300,binary,-1,gbdt,253,18,0.10470369071115529,0.839997408783091,0.7197414910647177,5,27,0.033044236024420706,0.05754594705367585,cpu,42,27.580278281911674,0.8695337157898155,1.0,"[np.float64(0.8666606587017274), np.float64(0.8679541320276881), np.float64(0.8739863566400313)]",0.003192467824635598
300,binary,-1,gbdt,256,18,0.123763091125372,0.8331386581745266,0.728931400523278,4,52,0.01981987113486471,0.15463395253194126,cpu,42,27.580278281911674,0.8689089693787498,1.0,"[np.float64(0.8653024551784196), np.float64(0.8654874067037639), np.float64(0.875937046254066)]",0.004970174389341349
300,binary,-1,gbdt,254,14,0.08687695055497079,0.8243635181621152,0.7175886880745975,4,54,0.0370541391272874,0.05803940007409165,cpu,42,27.580278281911674,0.37030175495401735,0.39032866739754485,"[np.float64(0.37432898122162167), np.float64(0.3699028739809584), np.float64(0.36667340965947215)]",0.003138075154060686
300,binary,-1,gbdt,253,18,0.19580329339089517,0.7542543252127134,0.7176184887132456,2,54,0.059584239321121876,0.15483820019007263,cpu,42,27.580278281911674,0.850598080843617,0.9999999972554184,"[np.float64(0.8497666981840137), np.float64(0.8472643963119245), np.float64(0.8547631480349129)]",0.0031172869823798454
