n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,device,random_state,scale_pos_weight,reg_alpha,reg_lambda,colsample_bytree,subsample,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,443,19,0.024085330291234754,44,cpu,42,5.0,0.37632933729083967,0.0004266958605790572,0.9018761886912375,0.9978784923146641,0.9296656370448314,0.9996914081449323,"[np.float64(0.9134821197876006), np.float64(0.9286429194450234), np.float64(0.9468718719018698)]",0.013650478624815169
300,binary,-1,gbdt,482,18,0.018488710365808198,80,cpu,42,5.0,0.1617316012284523,0.22633637426525133,0.8113788390193121,0.9679582081478849,0.9321498205902397,0.9994084634447867,"[np.float64(0.9169996892572374), np.float64(0.931439715795603), np.float64(0.9480100567178784)]",0.012669883165089305
300,binary,-1,gbdt,502,17,0.02082316393154998,60,cpu,42,5.0,0.14575836282305019,0.2626861549114788,0.8135244243998756,0.9703022438624684,0.9318259409111677,0.9995044987082479,"[np.float64(0.9171952881058698), np.float64(0.9307969533001839), np.float64(0.9474855813274493)]",0.012387347778815417
300,binary,-1,gbdt,471,17,0.01997930293317582,60,cpu,42,5.0,0.13844669147047028,0.26053237827475717,0.8089951953960375,0.9660250641319024,0.9312356487894355,0.9997422033957344,"[np.float64(0.9152743872019297), np.float64(0.9300443350222738), np.float64(0.9483882241441035)]",0.013544887611865258
300,binary,-1,gbdt,422,17,0.017530175412508175,88,cpu,42,5.0,0.14746300989836392,0.337809854849794,0.8223489929859112,0.9983784833228291,0.9309888463864096,0.9990017820560985,"[np.float64(0.9140111188510088), np.float64(0.9307405669979908), np.float64(0.948214853310229)]",0.013964719706704872
300,binary,-1,gbdt,478,16,0.02123505041050999,75,cpu,42,5.0,0.03414054661376864,0.21002436072062552,0.8185993400526151,0.9710213615833755,0.9310415965786136,0.9989684835743251,"[np.float64(0.9150799841632801), np.float64(0.929060874318816), np.float64(0.948983931253745)]",0.013911909827700518
300,binary,-1,gbdt,398,19,0.01863408016494842,100,cpu,42,5.0,0.05508970775150537,0.26575288182768486,0.8395614212821083,0.9597103910541431,0.9313617309022396,0.9993163492469931,"[np.float64(0.9150016795885474), np.float64(0.930355026844149), np.float64(0.9487284862740224)]",0.013787300003875125
300,binary,-1,gbdt,452,16,0.014974567772974956,59,cpu,42,5.0,0.22724678188902797,0.39490174178300214,0.8637764697098866,0.92105854010626,0.930252366213589,0.9990779195136442,"[np.float64(0.9149664346627469), np.float64(0.9284192629063669), np.float64(0.947371401071653)]",0.013292621080679676
300,binary,-1,gbdt,297,18,0.010366028422720384,75,cpu,42,5.0,0.1573672785169871,0.12319397686674322,0.8706692206592408,0.9769918445669887,0.9315420050120459,0.998093523479784,"[np.float64(0.9160229642509877), np.float64(0.9312121031077096), np.float64(0.9473909476774406)]",0.012808050138107645
300,binary,-1,gbdt,367,10,0.021598708050080722,41,cpu,42,5.0,0.12293341678926084,0.060573185131531176,0.8503059922025759,0.9544511569022586,0.9253200153622422,0.9961227990980968,"[np.float64(0.9090209618357035), np.float64(0.9241825288135067), np.float64(0.9427565554375162)]",0.013795965005587281
