n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,trial_number,training_score
500,0.011600563234101918,12,0.9680982509201018,0.5238439495287508,0.8452488118268545,4.991819626441698,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8413001745126972,0,0.9689167228541146
500,0.029643323571158862,8,0.8902875131833115,0.9506749637916919,0.0014041126206046945,0.17327448405661527,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.7927282824600268,1,0.8949739087227322
500,0.14837920386844297,9,0.5458629912641961,0.5678231873742056,0.06760826222864932,2.8679704289940866,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8696989450626682,2,0.999896505300991
500,0.0604804847676458,14,0.5443105730233728,0.5807883742367232,0.18601861989314086,0.25669228201182726,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8796123584921776,3,0.9999998681164319
500,0.039715462163621304,11,0.6832699566699574,0.5553472933572656,0.61443602216195,0.39802712923815764,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8707442880749752,4,0.9983706479417302
500,0.043003626468923126,14,0.6260497728287995,0.7264839656032764,0.05998475419645442,3.3734423618829874,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8812573457408251,5,0.9999104206337444
500,0.032097386586479724,10,0.9023585840494512,0.8198871900164486,0.24730448530916782,3.2960700183271747,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8576402801382812,6,0.9845458962637812
500,0.21691750951181576,11,0.8372464282897845,0.8430753779306672,0.05570466243929119,4.008108906327799,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8746496268176274,7,0.9998037167940532
500,0.14394075587012292,14,0.8870698236399313,0.6938016772795975,0.003944854767849446,3.839475776139836,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8794879654633997,8,0.9998141543772618
500,0.02553054487595537,10,0.7120592342371077,0.7744078923684043,0.05206394674209116,0.6989770073031709,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8396981996334946,9,0.9715426353463048
500,0.0759123183866536,15,0.6274525378048864,0.9927897824958065,0.010212849924304646,1.9976975002063038,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8783616820764399,10,0.9999993007028939
500,0.07024600600363794,13,0.5131653274571171,0.6658631722865374,0.1810893987897209,1.742026412576458,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8750973017308961,11,0.9999992526565488
500,0.060562829282591615,15,0.5965782925993164,0.6509050118181707,0.010960094208378634,1.3362190482550402,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8809693403382575,12,0.9999996337280286
500,0.0159045526319737,15,0.6234215230253979,0.6636630979042262,0.01427689432348325,1.3921046428098824,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8681231504247937,13,0.9991497768151094
500,0.08155492302842034,13,0.770939913234173,0.7288243713193121,0.015035094125039396,2.4672424247994487,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8860432926332104,14,0.9999868577734169
500,0.10081903819262983,13,0.8102351295225231,0.7430101766845663,0.021259642077093948,2.5363997378561383,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8866473477024488,15,0.9999842543490597
500,0.1302610224418355,13,0.7913511984881949,0.8900939220452903,0.021833409771542942,2.50245573780367,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8830081981281741,16,0.9999880528082433
500,0.1012839205402258,12,0.7839834424018242,0.767520529899397,0.003761550536349167,2.2788694949519037,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8849204910044877,17,0.9999911928838023
500,0.27062269435128544,13,0.7372013922042194,0.617924024930613,0.005542263795138878,2.82368647124858,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8665794248640828,18,0.9999757021464104
500,0.10485424397381866,12,0.9893352097148735,0.8249842275140189,0.02882792254230979,4.784499430884349,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8749996166805655,19,0.9977482856788714
500,0.20507682775244088,13,0.8261594673237953,0.7352508156595373,0.0013484889572724355,1.2671300075625629,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8820016093208568,20,0.9999996302000336
500,0.09638098454283756,12,0.7682105968506083,0.7831370177024171,0.004042063437274138,1.9446131246732223,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8872245185163581,21,0.9999967933014474
500,0.08554554839341126,11,0.764691567110936,0.8770327655916724,0.0070907479772458586,1.9279680379614716,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8882344650172401,22,0.9999944418199928
500,0.10220488461218169,11,0.7080776584664517,0.8852708355408261,0.0025205870163525538,1.9331851794213997,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.88580032523602,23,0.9999967356178499
500,0.04459536557059406,10,0.8405227455184962,0.8844246902294077,0.005443329641327364,0.9078786831676735,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8723952114113488,24,0.9966088181914148
500,0.18485339746549354,12,0.7518784114654493,0.7972010311746611,0.007577089762270155,1.66167464376643,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8800312732333997,25,0.9999991144511329
500,0.09383612611954208,11,0.6760130152808065,0.9265473660365178,0.0026216842258379096,2.92621052403095,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.880661498703863,26,0.9999626371074599
500,0.1319298089000458,9,0.804394341159699,0.8414911018715353,0.021765718584578587,2.2494878025674336,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8834178680491533,27,0.9999502076077484
