n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,trial_number,training_score
500,0.18643107481719318,10,0.8692477597191992,0.5401043067614277,0.559180933861464,2.927714945394385,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8919366309462639,0,0.999980172115853
500,0.19469826114545474,10,0.8506515375767711,0.9142570021002494,0.08473627954328658,0.9893236587874216,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8985393314010603,1,1.0
500,0.02445860815012621,8,0.8124113288623199,0.5610896175397213,0.004656996360153374,2.4143150164612184,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.7954002931713031,2,0.8955140655913101
500,0.03735297768946289,13,0.9915047974573301,0.6447602555331797,0.019434360311365313,1.751482405639531,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8981054237132664,3,0.9999980652018703
500,0.012891687120685466,9,0.5031556277464888,0.7722536242252938,0.11341735102411722,3.5156972057799085,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.7694378124038421,4,0.8722944880178849
500,0.25169587086391965,15,0.8516200843255584,0.6394215758598691,0.006178776296692331,1.2365784159696902,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8843515870866946,5,1.0
500,0.03733942950555702,11,0.5873030788468205,0.5627391587068887,0.0658844409102188,2.178161591473807,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8762988771021429,6,0.9992254046431016
500,0.1256317777780585,12,0.9022295121290451,0.7123972602726278,0.5993762548763375,4.883543603130057,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8881748389603837,7,0.9997522772270412
500,0.015624065501973225,14,0.6692321132626105,0.655773984446568,0.008703003959261154,2.8087683540688357,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8720540593908697,8,0.9987232950568095
500,0.03219543124876717,11,0.8589995989767527,0.5442611191371178,0.898303705495773,1.3170636323964302,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8853821140515175,9,0.9987399897052887
500,0.0878907915893564,8,0.702817961884762,0.9373537359831129,0.0015772795155537837,0.018301184485575384,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8799756702666,10,0.9974722657778916
500,0.06902993098680119,13,0.9982281197753833,0.9971586151233027,0.023804230203874496,1.0341949493221632,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8976857147999338,11,0.9999999414314282
500,0.04753072349140037,13,0.9994737939427372,0.843943689758327,0.11863559336524561,0.11685048435503775,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9017463359733031,12,1.0
500,0.10800492760725859,10,0.9310298116767459,0.861050860571345,0.19118026800709198,0.04684761118521455,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9062070527358261,13,1.0
500,0.09484078295237093,12,0.9413888004405253,0.8242570104522032,0.2324714021180057,0.023976416935918038,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9086360883880883,14,1.0
500,0.11302684354653517,10,0.9336530262065813,0.8217277122484996,0.21622957835845197,0.5055508811096031,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9062507319781372,15,1.0
500,0.1404135532998586,12,0.7657672307728433,0.7896712164336444,0.28654924993465514,0.669248139026446,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9009048054951438,16,1.0
500,0.06768218655200875,9,0.9369267707772058,0.8307444172349338,0.29601010887133167,0.6121533064687253,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8901843406876716,17,0.9986430656152459
500,0.09373276539756437,11,0.7701315030688209,0.7078524317429289,0.04215025740764575,4.093986970114571,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.892677092800829,18,0.9999278070343807
