C,penalty,solver,max_iter,class_weight,random_state,score,trial_number,training_score,l1_ratio
0.00016896576842078808,l2,newton-cg,1000,,42,0.8861531415779303,0,0.9999006333345857,
0.00016896576842078808,l2,newton-cg,1000,,42,0.8861531415779303,0,0.9999006333345857,
0.00016046990203993995,,sag,1000,,42,0.8204244483125408,1,0.999999961210419,
0.00016046990203993995,,sag,1000,,42,0.8204244483125408,1,0.999999961210419,
0.0004125246595206671,,lbfgs,1000,,42,0.8908800972870682,2,0.9999959196537226,
0.0004125246595206671,,lbfgs,1000,,42,0.8908800972870682,2,0.9999959196537226,
0.05899797410164568,,newton-cg,1000,,42,0.8900765899822745,3,0.9999995196328065,
0.05899797410164568,,newton-cg,1000,,42,0.8900765899822745,3,0.9999995196328065,
0.01619992540733089,l2,saga,1000,,42,0.8900951175170824,4,0.999987695465336,
0.01619992540733089,l2,saga,1000,,42,0.8900951175170824,4,0.999987695465336,
59.79837876894231,,sag,1000,,42,0.8204244483125408,5,0.999999961210419,
59.79837876894231,,sag,1000,,42,0.8204244483125408,5,0.999999961210419,
0.0001639108725430574,,newton-cg,1000,,42,0.8900765899822745,6,0.9999995196328065,
0.0001639108725430574,,newton-cg,1000,,42,0.8900765899822745,6,0.9999995196328065,
0.35119307412335343,elasticnet,saga,1000,,42,0.8904291209794031,7,0.9999995195783051,0.4480370091382916
0.35119307412335343,elasticnet,saga,1000,,42,0.8904291209794031,7,0.9999995195783051,0.4480370091382916
0.005774080932623084,l2,lbfgs,1000,,42,0.8893717697087811,8,0.9999774955188248,
0.005774080932623084,l2,lbfgs,1000,,42,0.8893717697087811,8,0.9999774955188248,
0.025419976087740274,l2,lbfgs,1000,,42,0.889920079035483,9,0.9999858041635934,
0.025419976087740274,l2,lbfgs,1000,,42,0.889920079035483,9,0.9999858041635934,
1.652697818183419,l2,liblinear,1000,balanced,42,0.8861988098125699,10,0.9999998395012117,
1.652697818183419,l2,liblinear,1000,balanced,42,0.8861988098125699,10,0.9999998395012117,
1.1268401545688589,elasticnet,saga,1000,balanced,42,0.8873673425301886,11,0.9999998505655479,0.47236036257043157
1.1268401545688589,elasticnet,saga,1000,balanced,42,0.8873673425301886,11,0.9999998505655479,0.47236036257043157
0.9972507352677787,l1,saga,1000,balanced,42,0.8600190818413374,12,0.9999998892517982,
0.9972507352677787,l1,saga,1000,balanced,42,0.8600190818413374,12,0.9999998892517982,
0.0024122823286349764,,lbfgs,1000,,42,0.8908800972870682,13,0.9999959196537226,
0.0024122823286349764,,lbfgs,1000,,42,0.8908800972870682,13,0.9999959196537226,
0.0017950111359368612,,lbfgs,1000,balanced,42,0.8525378594413298,14,0.9999999390628485,
0.0017950111359368612,,lbfgs,1000,balanced,42,0.8525378594413298,14,0.9999999390628485,
0.00122513374288467,,lbfgs,1000,,42,0.8908800972870682,15,0.9999959196537226,
0.00122513374288467,,lbfgs,1000,,42,0.8908800972870682,15,0.9999959196537226,
0.0009236970096733717,,lbfgs,1000,,42,0.8908800972870682,16,0.9999959196537226,
0.0009236970096733717,,lbfgs,1000,,42,0.8908800972870682,16,0.9999959196537226,
0.004157786742611574,l1,liblinear,1000,,42,0.883209818694005,17,0.9999998892517982,
0.004157786742611574,l1,liblinear,1000,,42,0.883209818694005,17,0.9999998892517982,
0.00036168544655261394,,lbfgs,1000,balanced,42,0.8525378594413298,18,0.9999999390628485,
0.00036168544655261394,,lbfgs,1000,balanced,42,0.8525378594413298,18,0.9999999390628485,
28.731762807259333,,lbfgs,1000,,42,0.8908800972870682,19,0.9999959196537226,
28.731762807259333,,lbfgs,1000,,42,0.8908800972870682,19,0.9999959196537226,
0.00875107460727229,,lbfgs,1000,,42,0.8908800972870682,20,0.9999959196537226,
0.00875107460727229,,lbfgs,1000,,42,0.8908800972870682,20,0.9999959196537226,
0.0011123429335078527,,lbfgs,1000,,42,0.8908800972870682,21,0.9999959196537226,
0.0011123429335078527,,lbfgs,1000,,42,0.8908800972870682,21,0.9999959196537226,
0.0006793128634569198,,lbfgs,1000,,42,0.8908800972870682,22,0.9999959196537226,
0.0006793128634569198,,lbfgs,1000,,42,0.8908800972870682,22,0.9999959196537226,
0.003584224306079441,,lbfgs,1000,,42,0.8908800972870682,23,0.9999959196537226,
0.003584224306079441,,lbfgs,1000,,42,0.8908800972870682,23,0.9999959196537226,
0.04030278738712208,,lbfgs,1000,,42,0.8908800972870682,24,0.9999959196537226,
0.04030278738712208,,lbfgs,1000,,42,0.8908800972870682,24,0.9999959196537226,
0.0022008757656719457,l2,sag,1000,,42,0.8886063241564696,25,0.9999644999209449,
0.0022008757656719457,l2,sag,1000,,42,0.8886063241564696,25,0.9999644999209449,
0.20304790173032394,l1,liblinear,1000,balanced,42,0.8801138561729326,26,0.9999998892517982,
0.20304790173032394,l1,liblinear,1000,balanced,42,0.8801138561729326,26,0.9999998892517982,
0.00043947162570610513,l2,lbfgs,1000,,42,0.8869092786046212,27,0.9999250825424804,
0.00043947162570610513,l2,lbfgs,1000,,42,0.8869092786046212,27,0.9999250825424804,
0.00010337258490426036,,lbfgs,1000,,42,0.8908800972870682,28,0.9999959196537226,
0.00010337258490426036,,lbfgs,1000,,42,0.8908800972870682,28,0.9999959196537226,
0.010555446965395024,l2,newton-cg,1000,,42,0.8898533880096431,29,0.9999844811254419,
0.010555446965395024,l2,newton-cg,1000,,42,0.8898533880096431,29,0.9999844811254419,
0.0005543802167371637,,lbfgs,1000,,42,0.8908800972870682,30,0.9999959196537226,
