iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.04996189904109915,11,2.7265825756666433,0.8764509235802904,180,Recall,CPU,False,5066.186040156348,42,0.9649875536648403,0.9649912580218147,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649577715217069), np.float64(0.9649895222572656), np.float64(0.9649683551002265)]",2.174629063787204e-05,183.6887209176192
500,0.20621707082633067,14,3.9106807290907595,0.5423484030516881,92,Recall,CPU,False,24387.139002298292,42,0.9648669023930662,0.9649187606489708,"[np.float64(0.9650110597225016), np.float64(0.9642913839999153), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.00028775923231580516,884.2238193909893
500,0.18398841748245495,13,7.8099341538556,0.7819528081354639,148,Recall,CPU,False,4268.077332418794,42,0.9649706199392091,0.9649812036754266,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649154372076286), np.float64(0.9649683551002265), np.float64(0.9649471879431873)]",3.706770546809258e-05,154.7510612036856
500,0.06537678503954826,13,5.321853047986466,0.5821209980980685,95,Recall,CPU,False,12356.347652202008,42,0.9648288019136352,0.9648901850625758,"[np.float64(0.9650110597225016), np.float64(0.9641008816027602), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.00036396018369503567,448.013886078366
500,0.0568422249111979,11,4.171593710264929,0.9728484357554164,53,Recall,CPU,False,18918.165945590637,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,685.9309305083401
500,0.19275736949489888,13,4.392306589714906,0.7314964172120055,203,Recall,CPU,False,24457.959006026147,42,0.9649642700385215,0.9649695617446559,"[np.float64(0.9650110597225016), np.float64(0.9648946415909067), np.float64(0.9649577715217069), np.float64(0.9649895222572656), np.float64(0.9649683551002265)]",3.9329348445232204e-05,886.7915963729315
500,0.035148767759620884,10,2.0050618157798072,0.8831479173321782,95,Recall,CPU,False,24862.61566069601,42,0.9648669023930662,0.9649187606489708,"[np.float64(0.9650110597225016), np.float64(0.9642913839999153), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.00028775923231580516,901.4635532884372
500,0.13264472608557273,13,1.9675522860524701,0.7371060675142953,215,Recall,CPU,False,19936.361098240446,42,0.9645239932169117,0.9645028284003972,"[np.float64(0.9650110597225016), np.float64(0.9648734746578894), np.float64(0.9649577715217069), np.float64(0.9628093050822344), np.float64(0.9649683551002265)]",0.0008585042293096312,722.8484388178042
500,0.19995373289945567,13,1.5465999065562301,0.8909628027770438,159,Recall,CPU,False,10432.513361962647,42,0.9649134693096715,0.9649367527478553,"[np.float64(0.9650110597225016), np.float64(0.9646829722607343), np.float64(0.9649471879431873), np.float64(0.9649789386787461), np.float64(0.9649471879431873)]",0.0001176545018471254,378.2599020693977
500,0.022088172604862177,13,2.9228976215436333,0.9851496158558503,211,Recall,CPU,False,27463.056488265385,42,0.9645239932169117,0.9645028284003972,"[np.float64(0.9650110597225016), np.float64(0.9648734746578894), np.float64(0.9649577715217069), np.float64(0.9628093050822344), np.float64(0.9649683551002265)]",0.0008585042293096312,995.7497965594072
