n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std
500,0.010558399587784942,9,0.8760264915909408,0.6025585412229854,0.040635166117138036,4.37293517240242,hist,binary:logistic,<function eval_function at 0x000002D555566160>,2006.5712790346404,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07
500,0.029526638945089487,10,0.9287557765292722,0.8227605866601306,0.0016369644247730092,3.4472989185201746,hist,binary:logistic,<function eval_function at 0x000002D555566160>,1100.53505161822,-1,42,0.7396991511501823,0.6595587359154822,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.44180090172088987), np.float64(0.3616620451707131)]",0.27711067178090304
500,0.04486274046453554,11,0.7303920467234182,0.5909922975371161,0.04454943604407856,0.12650976728397045,hist,binary:logistic,<function eval_function at 0x000002D555566160>,1432.484217152362,-1,42,0.44025588161085744,0.20748860039663222,"[np.float64(0.46175664377110076), np.float64(0.4520939388487305), np.float64(0.4264758800245539), np.float64(0.43702770780856426), np.float64(0.42392523760133777)]",0.014624786194816736
500,0.034089236589927435,14,0.5366347392091226,0.6189166959243988,0.006602061327358314,3.2335235044875477,hist,binary:logistic,<function eval_function at 0x000002D555566160>,1889.268359102428,-1,42,0.4768517035844109,0.24584699714881258,"[np.float64(0.46941907352334183), np.float64(0.48025654322816896), np.float64(0.5226065237177995), np.float64(0.4711279977986157), np.float64(0.44084837965412865)]",0.026417193757151174
500,0.018608861100895945,8,0.8206950181793425,0.823653063268169,0.03262287382050055,4.275013793683537,hist,binary:logistic,<function eval_function at 0x000002D555566160>,1229.9534847640641,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07
500,0.03539677541267514,9,0.8820933617090423,0.9084730702457977,0.011333797795221685,1.6253537410117462,hist,binary:logistic,<function eval_function at 0x000002D555566160>,1845.7460580555708,-1,42,0.44779563840570935,0.2829020890180322,"[np.float64(0.42965698985045564), np.float64(0.47689100087842773), np.float64(0.48012403954024935), np.float64(0.46146519061024915), np.float64(0.39084097114916494)]",0.033619538927599626
500,0.08905424876749848,12,0.9095867702621006,0.9978940738355103,0.03309211150938641,0.3078741778639793,hist,binary:logistic,<function eval_function at 0x000002D555566160>,384.2971191725908,-1,42,0.44430304532986253,0.16184446729979296,"[np.float64(0.45468688814334246), np.float64(0.45760792489972163), np.float64(0.4599623224604703), np.float64(0.45377092902652244), np.float64(0.3954871621192558)]",0.024505869694919073
500,0.2012492655227382,14,0.7683795921176397,0.842619679620146,0.48888211814857296,1.0917627945483532,hist,binary:logistic,<function eval_function at 0x000002D555566160>,2487.984063650396,-1,42,0.5274578944173196,0.185293842561648,"[np.float64(0.5070856308275212), np.float64(0.5598547948395017), np.float64(0.555648455855894), np.float64(0.5285439112672777), np.float64(0.4861566792964037)]",0.028164750444559628
500,0.16785024082906003,8,0.8668199429892487,0.7914972184781305,0.060345800063706524,3.679147616896054,hist,binary:logistic,<function eval_function at 0x000002D555566160>,1644.7738709711616,-1,42,0.46174896620463696,0.19336380372435372,"[np.float64(0.4539354620212304), np.float64(0.4819604813360568), np.float64(0.4739326461063015), np.float64(0.45343225451389624), np.float64(0.4454839870456999)]",0.013796488595766012
500,0.030171305797952495,11,0.9590967224958785,0.7908552036225606,0.8400169858782337,2.798970493932331,hist,binary:logistic,<function eval_function at 0x000002D555566160>,1345.8551449929282,-1,42,0.5265693104403544,0.3361275799267184,"[np.float64(0.4232010752801973), np.float64(0.43746758813381736), np.float64(0.9650106894143048), np.float64(0.407785280358995), np.float64(0.3993819190144572)]",0.21960930312479462
