iterations,bootstrap_type,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,loss_function,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,Bernoulli,0.017233734852484462,5,2.787678698438606,0.860353378482386,47,PRAUC,CPU,Logloss,42,27.46147358274595,0.512706420300562,0.5466915485819576,"[np.float64(0.5142003574866608), np.float64(0.504010084914025), np.float64(0.5199088185010005)]",0.006576033183939585
300,Bernoulli,0.018500663338939592,4,9.93770217164884,0.7056786989839043,56,PRAUC,CPU,Logloss,42,27.46147358274595,0.4909319137723825,0.5059288113083391,"[np.float64(0.490167617819913), np.float64(0.48112144792865535), np.float64(0.5015066755685791)]",0.008339763694098232
300,Bernoulli,0.014317546114679659,6,4.853926009751866,0.767679794102856,37,PRAUC,CPU,Logloss,42,27.46147358274595,0.5185466009753861,0.5617753332307097,"[np.float64(0.5157556726855465), np.float64(0.5088707289523958), np.float64(0.531013401288216)]",0.009252619271757368
300,Bernoulli,0.02190564522433922,5,1.297810819885827,0.9155559375527732,56,PRAUC,CPU,Logloss,42,27.46147358274595,0.5238781392220919,0.5742165004056905,"[np.float64(0.5199084850805159), np.float64(0.5172670112919044), np.float64(0.5344589212938553)]",0.007559058930916071
300,Bernoulli,0.025173882513658683,7,4.348468206881492,0.7392908066147004,80,PRAUC,CPU,Logloss,42,27.46147358274595,0.559907943467519,0.6747870311501826,"[np.float64(0.5487864749172189), np.float64(0.5551846687624502), np.float64(0.5757526867228878)]",0.011504379970014508
300,Bernoulli,0.029972286239297367,5,7.3961516608353834,0.7148762037601124,61,PRAUC,CPU,Logloss,42,27.46147358274595,0.5380592259122351,0.5936281424502491,"[np.float64(0.530283927507009), np.float64(0.5331330223826914), np.float64(0.550760727847005)]",0.009056321878550981
300,Bernoulli,0.025205795268209902,4,8.94108499307658,0.6069278749936619,59,PRAUC,CPU,Logloss,42,27.46147358274595,0.5071515319862675,0.5332657556636917,"[np.float64(0.5043904998429181), np.float64(0.49918943964616747), np.float64(0.5178746564697172)]",0.007874084319598624
300,Bernoulli,0.020720232478300425,6,1.0528623709576217,0.8036875205963889,56,PRAUC,CPU,Logloss,42,27.46147358274595,0.5379699919663349,0.6127387230306899,"[np.float64(0.532805014886536), np.float64(0.5307230426517033), np.float64(0.5503819183607652)]",0.008817618337254174
300,Bernoulli,0.013714060486820626,3,6.180234868181881,0.8586373873166028,65,PRAUC,CPU,Logloss,42,27.46147358274595,0.4480370267367702,0.4345716960380961,"[np.float64(0.4503607132275299), np.float64(0.4317999376028687), np.float64(0.46195042937991204)]",0.012418069570318178
300,Bernoulli,0.015393320007893202,3,9.181446856213523,0.8050496927333503,103,PRAUC,CPU,Logloss,42,27.46147358274595,0.45798095259653554,0.4464809853980742,"[np.float64(0.46176336587982014), np.float64(0.44828340612050754), np.float64(0.46389608578927893)]",0.006912256230498246
300,Bernoulli,0.026434094881208545,8,4.266260165046176,0.9819205241573108,94,PRAUC,CPU,Logloss,42,27.46147358274595,0.5762890868085563,0.7420507047658509,"[np.float64(0.5556377456115518), np.float64(0.5785080900896243), np.float64(0.5947214247244929)]",0.01603280958788113
300,Bernoulli,0.02634890331543492,8,3.7915256093154404,0.9886513139193652,94,PRAUC,CPU,Logloss,42,27.46147358274595,0.575006297818637,0.7433774173059411,"[np.float64(0.5574418674799217), np.float64(0.5689289376105355), np.float64(0.5986480883654536)]",0.017362582185859163
300,Bernoulli,0.029941763415569072,8,3.624977955604138,0.997877946170313,113,PRAUC,CPU,Logloss,42,27.46147358274595,0.5834865286024054,0.762620088166012,"[np.float64(0.5694637309666253), np.float64(0.5781968191114957), np.float64(0.6027990357290951)]",0.014113738124615808
300,Bernoulli,0.02999351819161193,8,2.871030675755614,0.9797019575734744,121,PRAUC,CPU,Logloss,42,27.46147358274595,0.5805218698559583,0.7612899056621386,"[np.float64(0.5580118344121885), np.float64(0.5778805131904928), np.float64(0.6056732619651937)]",0.019547130955261942
300,Bernoulli,0.029657378813391866,7,2.670199120972366,0.9263283888133188,125,PRAUC,CPU,Logloss,42,27.46147358274595,0.5694066861529555,0.7017582741785026,"[np.float64(0.5593679024277229), np.float64(0.5651990224201735), np.float64(0.5836531336109699)]",0.010351213744357534
300,Bernoulli,0.010994383667409978,7,6.055056715541406,0.9347193929674623,127,PRAUC,CPU,Logloss,42,27.46147358274595,0.5199622187096254,0.582253149529328,"[np.float64(0.5233552237873064), np.float64(0.5054958222503116), np.float64(0.5310356100912583)]",0.010699051463658462
300,Bernoulli,0.02338004377665996,8,2.7478058807536225,0.9996155970152008,113,PRAUC,CPU,Logloss,42,27.46147358274595,0.572766640019947,0.7356415511487002,"[np.float64(0.5648652092344668), np.float64(0.5642000728397573), np.float64(0.5892346379856168)]",0.01164779862903635
300,Bernoulli,0.028278630468662153,7,2.114893972127198,0.8757970528376424,116,PRAUC,CPU,Logloss,42,27.46147358274595,0.562487638241958,0.6957633503698558,"[np.float64(0.5514478099118891), np.float64(0.5546557214412224), np.float64(0.5813593833727625)]",0.013408448762044006
300,Bernoulli,0.027756043092066342,8,3.5167832079020176,0.9483597199220678,108,PRAUC,CPU,Logloss,42,27.46147358274595,0.5801330195144213,0.7529275018575339,"[np.float64(0.5668523086294286), np.float64(0.5739803510717206), np.float64(0.5995663988421146)]",0.014046219451873706
