iterations,bootstrap_type,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,loss_function,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,Bernoulli,0.16955881882276694,10,1.8440763087524017,0.8991191065727072,100,PRAUC,CPU,Logloss,42,27.580278281911674,0.8391740681370675,0.9929811175592574,"[np.float64(0.8352824340675785), np.float64(0.8398121945407545), np.float64(0.8424275758028695)]",0.002951685008562764
300,Bernoulli,0.11848791671646595,5,6.8641793249297445,0.6374770173673866,45,PRAUC,CPU,Logloss,42,27.580278281911674,0.6422839073671373,0.6732706306143513,"[np.float64(0.6423237657114526), np.float64(0.6368476550298399), np.float64(0.6476803013601192)]",0.004422499153565956
300,Bernoulli,0.09219575657073187,8,1.5198720901163405,0.8610808219451966,90,PRAUC,CPU,Logloss,42,27.580278281911674,0.7409910860232771,0.8340599282218258,"[np.float64(0.7397344246817137), np.float64(0.7381516796079466), np.float64(0.745087153780171)]",0.00296755778308616
300,Bernoulli,0.17484878825430017,9,1.3438115538481763,0.6197787018857407,102,PRAUC,CPU,Logloss,42,27.580278281911674,0.8062916699587177,0.9701544357000268,"[np.float64(0.8022733721307485), np.float64(0.8037563470231246), np.float64(0.81284529072228)]",0.0046734899498697665
300,Bernoulli,0.04131425319381325,9,2.042971111098198,0.7889355728487379,114,PRAUC,CPU,Logloss,42,27.580278281911674,0.6798342914468871,0.744645996638898,"[np.float64(0.67141978792975), np.float64(0.6837549693970855), np.float64(0.6843281170138259)]",0.005954551571561519
300,Bernoulli,0.1388061844383211,6,5.199680661595989,0.6874761273771817,50,PRAUC,CPU,Logloss,42,27.580278281911674,0.6834813624753209,0.7405842070245766,"[np.float64(0.6844413187401631), np.float64(0.6826910217571649), np.float64(0.6833117469286348)]",0.0007245513358538477
300,Bernoulli,0.021716913158379116,6,2.3586207857304475,0.6033988901130215,52,PRAUC,CPU,Logloss,42,27.580278281911674,0.5400099843798062,0.5525276791971133,"[np.float64(0.536466285453185), np.float64(0.5397813543217825), np.float64(0.543782313364451)]",0.0029911279786706945
300,Bernoulli,0.1696135489183319,9,1.2941856258429811,0.7175470280052151,41,PRAUC,CPU,Logloss,42,27.580278281911674,0.812532996261341,0.9749319822836409,"[np.float64(0.8118457338348782), np.float64(0.8081633532584205), np.float64(0.817589901690724)]",0.0038789346534636227
300,Bernoulli,0.05160074679830882,8,3.720593801866555,0.9836275374507433,74,PRAUC,CPU,Logloss,42,27.580278281911674,0.6779129083693621,0.7319783588139058,"[np.float64(0.6708287833630926), np.float64(0.6792255171016552), np.float64(0.6836844246433386)]",0.00532973322938776
300,Bernoulli,0.06842876871628532,5,7.017149085063455,0.6088933495564334,66,PRAUC,CPU,Logloss,42,27.580278281911674,0.5950696378301502,0.6157971688056963,"[np.float64(0.5923730740111375), np.float64(0.5951022733033811), np.float64(0.5977335661759322)]",0.0021885334309823656
300,Bernoulli,0.29094628339963985,10,9.261070670738118,0.9511819621252424,128,PRAUC,CPU,Logloss,42,27.580278281911674,0.8452374903320132,0.995193990016079,"[np.float64(0.8426969785069858), np.float64(0.8402353281360058), np.float64(0.8527801643530479)]",0.0054273307851976475
300,Bernoulli,0.29275316973508414,10,9.722703583191628,0.9655432726005883,128,PRAUC,CPU,Logloss,42,27.580278281911674,0.8464460943026891,0.9956129177447647,"[np.float64(0.8453352893564153), np.float64(0.843437929286525), np.float64(0.850565064265127)]",0.003013793730201518
300,Bernoulli,0.2612933559477067,10,9.919352697133188,0.997664787142175,126,PRAUC,CPU,Logloss,42,27.580278281911674,0.8436489710117328,0.9932271785634962,"[np.float64(0.8363734610605614), np.float64(0.8441936255125584), np.float64(0.8503798264620787)]",0.005731029828001066
300,Bernoulli,0.28767273831881374,10,9.933350162898945,0.922826333178803,125,PRAUC,CPU,Logloss,42,27.580278281911674,0.8465510638239534,0.9954779964448311,"[np.float64(0.8426138847094666), np.float64(0.8458623935384586), np.float64(0.8511769132239346)]",0.0035295952937497424
300,Bernoulli,0.011931229277209543,7,8.23174377442097,0.909399034745632,114,PRAUC,CPU,Logloss,42,27.580278281911674,0.520547802310578,0.5323408400607599,"[np.float64(0.5199416346570398), np.float64(0.5160542120804126), np.float64(0.5256475601942815)]",0.00393985290982756
300,Bernoulli,0.29700064767521217,10,8.517607572033384,0.8328793569119857,116,PRAUC,CPU,Logloss,42,27.580278281911674,0.8455200665368688,0.9966116558593777,"[np.float64(0.8411555574063786), np.float64(0.844218748283401), np.float64(0.8511858939208267)]",0.004196981816009673
300,Bernoulli,0.03254646170159936,9,7.334742770274499,0.9339965397019308,92,PRAUC,CPU,Logloss,42,27.580278281911674,0.6550925978676044,0.7056879495594367,"[np.float64(0.6474761876018346), np.float64(0.6595735936471646), np.float64(0.6582280123538141)]",0.005413558672853879
300,Bernoulli,0.10430705763663026,8,5.6146147861347355,0.786155982743726,103,PRAUC,CPU,Logloss,42,27.580278281911674,0.7422361100513933,0.8356104959897254,"[np.float64(0.740243454083871), np.float64(0.7399992804059653), np.float64(0.7464655956643436)]",0.0029923587807235987
300,Bernoulli,0.20239779174298453,7,9.806496513151188,0.8650204380119042,122,PRAUC,CPU,Logloss,42,27.580278281911674,0.7581018318515845,0.8604784405066944,"[np.float64(0.7590008732961998), np.float64(0.7480516705055934), np.float64(0.7672529517529605)]",0.007864625739112854
