iterations,bootstrap_type,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,loss_function,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,Bernoulli,0.025126514235149562,6,8.989307459478326,0.959783617703367,107,AUC,CPU,Logloss,42,5.0,0.9023827289217031,0.9358759641656831,"[np.float64(0.8919682132307941), np.float64(0.9008001166549948), np.float64(0.9143798568793204)]",0.00921769815616257
300,Bernoulli,0.024900969525766276,3,2.2871097366231474,0.9832492216669126,79,AUC,CPU,Logloss,42,5.0,0.8826267540058531,0.9041419129297675,"[np.float64(0.875052180322439), np.float64(0.8786664562978721), np.float64(0.8941616253972484)]",0.008288775189723723
300,Bernoulli,0.025080130787834186,3,8.724818211999102,0.7970559142281773,52,AUC,CPU,Logloss,42,5.0,0.8818411563065777,0.9022775182788171,"[np.float64(0.8734809699218963), np.float64(0.8780368306765443), np.float64(0.8940056683212922)]",0.008800397006993047
300,Bernoulli,0.028364794532828495,5,5.536517899271129,0.9949776081553331,33,AUC,CPU,Logloss,42,5.0,0.90018169845954,0.9301594585439874,"[np.float64(0.8911134031501747), np.float64(0.8971021285066346), np.float64(0.9123295637218107)]",0.008931001462004465
300,Bernoulli,0.02286871675497327,6,9.307394736761148,0.7443897660806015,91,AUC,CPU,Logloss,42,5.0,0.9012522173065904,0.9315547486974273,"[np.float64(0.8915786728842072), np.float64(0.897670221479092), np.float64(0.9145077575564721)]",0.009697379424639581
300,Bernoulli,0.02267107712256476,7,2.1305630986494855,0.8590097405168562,94,AUC,CPU,Logloss,42,5.0,0.9083253113972786,0.9475823833583098,"[np.float64(0.8985457345709673), np.float64(0.9047062887752917), np.float64(0.9217239108455766)]",0.009802379214865965
300,Bernoulli,0.022242506720568496,6,1.561223440541824,0.829447822866537,80,AUC,CPU,Logloss,42,5.0,0.9023914543029631,0.9344083068774819,"[np.float64(0.8939235094060735), np.float64(0.8985942393639264), np.float64(0.9146566141388893)]",0.00887992263237357
300,Bernoulli,0.02280141221244051,5,2.9499196627412214,0.6980154321575216,125,AUC,CPU,Logloss,42,5.0,0.8946538679356287,0.922238394037269,"[np.float64(0.8859875164570726), np.float64(0.8909603688615203), np.float64(0.9070137184882932)]",0.008972429790651477
300,Bernoulli,0.01743089088592885,4,9.509806807743706,0.744624249884554,121,AUC,CPU,Logloss,42,5.0,0.8832193095178625,0.9039714172148502,"[np.float64(0.8753024874777715), np.float64(0.879115026626002), np.float64(0.8952404144498143)]",0.008641530980404733
300,Bernoulli,0.02306878767979637,3,1.9372941470618943,0.6515352510086145,91,AUC,CPU,Logloss,42,5.0,0.879935495472842,0.9000088640751901,"[np.float64(0.8720602217879263), np.float64(0.8758665866675178), np.float64(0.8918796779630822)]",0.008587577264834964
