iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.08179147687289445,16,7.231789153981489,0.9738982878476012,131,Recall,CPU,False,14440.9825503525,42,0.9649854369491365,0.9649954914308203,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649366043646678), np.float64(0.9649577715217069), np.float64(0.9650106894143048)]",3.193974704867691e-05,523.5981451218175
500,0.09918839355667171,13,2.543243507194481,0.9484477929205173,157,Recall,CPU,False,16745.0894367651,42,0.9650087208218796,0.965004487424957,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650001058357852), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",4.31067535122516e-06,607.1399739192352
500,0.047111050613887206,10,4.011569046058383,0.6856142213135448,90,Recall,CPU,False,8502.510420955427,42,0.9649536862807844,0.9649637408548781,"[np.float64(0.9650110597225016), np.float64(0.9649793093229756), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9647566835298351)]",9.92542698824326e-05,308.28225640245756
500,0.013572324546358719,12,5.817548338442487,0.6074447549924122,134,Recall,CPU,False,8929.986443762979,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,323.78159322705767
500,0.059126976854383846,11,4.109904535267612,0.9207997846645428,173,Recall,CPU,False,11708.549472773593,42,0.9649304023408348,0.9649224651240749,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649789386787461), np.float64(0.9649577715217069), np.float64(0.9646931820587177)]",0.00012032417615911557,424.52615427207496
500,0.14493760735983263,16,5.730442627689727,0.6138954316105593,226,Recall,CPU,False,21474.191074755716,42,0.9648923024438607,0.9648679597241028,"[np.float64(0.9647676399928032), np.float64(0.9647888069258205), np.float64(0.9650001058357852), np.float64(0.9648942700505895), np.float64(0.9650106894143048)]",0.00010187538124166033,778.6067586141583
500,0.0247509777868182,12,3.5849341560841825,0.6762556995854738,91,Recall,CPU,False,16972.73691019414,42,0.9650023707643764,0.9650076624733103,"[np.float64(0.9650004762559928), np.float64(0.9649793093229756), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.2190316250133316e-05,615.3939687158844
500,0.06639086115871248,15,3.9367726591282954,0.9704782756658215,38,Recall,CPU,False,21602.367822487213,42,0.9650066041061758,0.9650071333055854,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649895222572656), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",8.54252984650176e-06,783.2541645040242
500,0.10944795723338885,16,6.21027706679727,0.5943669267657599,76,Recall,CPU,False,18420.96372016037,42,0.9650002540710748,0.9650563468070867,"[np.float64(0.9650110597225016), np.float64(0.9649581423899584), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",2.1056328997203365e-05,667.903475515025
500,0.12229810863905309,15,7.020199393309668,0.9831286793608662,229,Recall,CPU,False,6077.598902352173,42,0.9647991669528884,0.9647663579079705,"[np.float64(0.9647676399928032), np.float64(0.9647888069258205), np.float64(0.9649683551002265), np.float64(0.9647566835298351), np.float64(0.9647143492157568)]",8.80054524892635e-05,220.3603183488588
500,0.23168318068014435,14,9.877332053282121,0.8266347277880834,255,Recall,CPU,False,3875.0831612927614,42,0.9649579201826383,0.9649531571937503,"[np.float64(0.9650110597225016), np.float64(0.9647570565262946), np.float64(0.9650106894143048), np.float64(0.9650001058357852), np.float64(0.9650106894143048)]",0.00010051749309389506,140.50196019357088
500,0.21228137189925653,15,8.076732668145517,0.7930965363350582,239,Recall,CPU,False,26887.34753470752,42,0.9642107199872004,0.9642250107313896,"[np.float64(0.9647676399928032), np.float64(0.9647888069258205), np.float64(0.9649154372076286), np.float64(0.9647672671083547), np.float64(0.9618144487013949)]",0.0011994024791747828,974.8758609278207
