n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,n_jobs,score,trial_number
500,0.1928831912212682,6,0.7790561491668446,0.5650196657903557,0.056861409856537155,3.0697552239792243,hist,binary:logistic,aucpr,-1,0.8450163010117429,0
500,0.013894246518040257,3,0.5445693704306641,0.6075766938416669,0.01803492662468329,2.0988744265250157,hist,binary:logistic,aucpr,-1,0.5362409152447998,1
500,0.18400803567501414,3,0.9416121636374454,0.6571110298468561,2.387103637844516,0.6746532397154054,hist,binary:logistic,aucpr,-1,0.7204421324044958,2
500,0.011796298075389898,4,0.9686323890158183,0.924335591418345,0.0015465726545339327,3.134606481028702,hist,binary:logistic,aucpr,-1,0.5776716344268245,3
500,0.0347293892155223,10,0.8953611843796347,0.5242076323914546,9.106686140022106,4.750358969529481,hist,binary:logistic,aucpr,-1,0.8325337800272851,4
500,0.18290847693228426,7,0.5214792283411408,0.7075061874766782,6.746218495157325,2.3439012892898505,hist,binary:logistic,aucpr,-1,0.8512938196727802,5
500,0.285471571924592,10,0.96687844131057,0.5956931907057371,0.5455578635415484,4.171290127025665,hist,binary:logistic,aucpr,-1,0.8117128609652471,6
500,0.03481404645437459,7,0.6167473905350918,0.8067520699058505,0.05692436830865139,1.637506853041949,hist,binary:logistic,aucpr,-1,0.815146456365524,7
500,0.036849947254369984,5,0.650887014786609,0.7575534744459869,2.1239199733387593,2.6234052263223404,hist,binary:logistic,aucpr,-1,0.7195504009422644,8
500,0.06891614157417382,6,0.6943565313705286,0.807660154565134,0.03308156640709859,4.626960411803727,hist,binary:logistic,aucpr,-1,0.8165829663954476,9
500,0.08565999618700594,8,0.509675639351548,0.9352220972113816,0.31049417531230644,0.025269840225092377,hist,binary:logistic,aucpr,-1,0.8772233243517824,10
500,0.08815781068812785,8,0.5027921563548051,0.9961407728233894,0.2809688388269194,0.047552111893956236,hist,binary:logistic,aucpr,-1,0.8779742637830192,11
500,0.08433077373903201,8,0.5773087437033358,0.9963334346109606,0.3408019998766838,0.4013198704300236,hist,binary:logistic,aucpr,-1,0.8839037015887474,12
500,0.09288537692120141,9,0.5920395007078202,0.990466156498265,0.302497816693326,0.9489317711174654,hist,binary:logistic,aucpr,-1,0.8884514269742045,13
500,0.10198979806051597,9,0.779951962549042,0.8915165658204757,0.007466951251031286,1.1484430340285945,hist,binary:logistic,aucpr,-1,0.892216983385026,14
500,0.12083186876510105,9,0.8133144148230567,0.876886084961343,0.002342506503656163,1.2439917819752708,hist,binary:logistic,aucpr,-1,0.8909420545685127,15
500,0.11646482613537637,9,0.8135748269761307,0.845377204243738,0.002848311264365025,1.2489149093710856,hist,binary:logistic,aucpr,-1,0.8907081767267185,16
500,0.05422970688656439,9,0.8505174238956427,0.8739658889842431,0.0060950561991250825,1.6184243532443192,hist,binary:logistic,aucpr,-1,0.8871926587339607,17
500,0.13818129351580724,10,0.7207300749676954,0.9048644684291907,0.00770316652776193,1.3647346406041747,hist,binary:logistic,aucpr,-1,0.8858990662753096,18
500,0.048230047816679215,9,0.7755162163053921,0.7555571263133307,0.0013191097539293768,2.009094320320668,hist,binary:logistic,aucpr,-1,0.8803361047997749,19
500,0.2826854640044463,8,0.8548097137183964,0.8297799479473358,0.008586659618083695,0.883948367723097,hist,binary:logistic,aucpr,-1,0.8702544695957426,20
500,0.1312771920193084,9,0.8145680670026887,0.8630587829726944,0.003001950680204768,1.383168715059789,hist,binary:logistic,aucpr,-1,0.8875689102797615,21
500,0.12624593343487436,10,0.7428848679072056,0.8679513629919162,0.0031429516493263272,1.2075053950541055,hist,binary:logistic,aucpr,-1,0.8874953681503028,22
500,0.020917050667978283,9,0.8192620937442575,0.9458574870088586,0.0010282543242156592,0.6128417794965549,hist,binary:logistic,aucpr,-1,0.8556103347325739,23
500,0.11474812354570459,7,0.8953282707459975,0.83161390368398,0.01639478754779378,1.885102846808091,hist,binary:logistic,aucpr,-1,0.8666827435859981,24
500,0.06005178869509048,8,0.6959177128173699,0.7746271580243715,0.00262364037742272,2.690786536589057,hist,binary:logistic,aucpr,-1,0.8690605781341072,25
500,0.17102940956608156,9,0.789555692946102,0.8977035758255854,0.00515060230480195,1.1232307492959015,hist,binary:logistic,aucpr,-1,0.886882082112506,26
500,0.2244637713145473,10,0.872956195102489,0.9588513478154931,0.01493667782224882,3.670284965014858,hist,binary:logistic,aucpr,-1,0.8470732588461352,27
500,0.1053688377667693,7,0.8237768032813695,0.6993001771825244,0.002995083860835068,0.3667120282497275,hist,binary:logistic,aucpr,-1,0.8824193877785007,28
500,0.14423869174924994,5,0.7694663062348088,0.8397232685744882,0.053618507826357256,3.2580452427057063,hist,binary:logistic,aucpr,-1,0.8263231836440136,29
