n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.012220672042350205,12,0.6101865703997771,0.7393885389562767,0.006705852262038931,2.8877876333138737,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,6722.798518969418,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,243.75383200460732
500,0.013622508320752293,8,0.8369564357037517,0.5898788653211003,0.3620949567476594,3.4034588716685326,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,16087.48057197258,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,583.2965283212329
500,0.016429111579084537,12,0.6793004119536907,0.6058363993881446,0.003823665803382311,2.412162551566261,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,25088.362125281215,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,909.6486217013712
500,0.12694897097025276,10,0.9460632975341197,0.5822724756625308,0.7133901786089503,4.399120701109129,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,8862.567467760422,-1,42,0.4414940862136055,0.14207074041107695,"[np.float64(0.45324753669817014), np.float64(0.4956025696656683), np.float64(0.40903414262430415), np.float64(0.4389539190991258), np.float64(0.41063226298075906)]",0.03186981047894962,321.3371300017982
500,0.19872545926708754,14,0.7385047686768611,0.6734483965431852,0.13179689812355633,1.5701695611866278,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,5105.05576995768,-1,42,0.5207182742147121,0.14221890541663745,"[np.float64(0.5257019484161842), np.float64(0.5400107951358388), np.float64(0.5109645873462735), np.float64(0.5444404462036704), np.float64(0.4824735939715937)]",0.02243911669535222,185.0980515053684
500,0.2696443368014446,11,0.8099167958901248,0.6141475115890322,0.019483302963867456,4.563634921642952,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,20153.109750586078,-1,42,0.6535733061381561,0.20206454519511935,"[np.float64(0.6914072835416513), np.float64(0.6715738673044969), np.float64(0.6657070888808924), np.float64(0.6292360773024575), np.float64(0.6099422136612832)]",0.029660180951052467,730.7072664238979
500,0.1760252546328157,12,0.7418738456267284,0.901878030402679,0.014641587123141512,4.790316348125479,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,22322.9351030139,-1,42,0.5795245678297188,0.19397344744184344,"[np.float64(0.5792013716172595), np.float64(0.6292188343369988), np.float64(0.5922993882691616), np.float64(0.5827530004445103), np.float64(0.5141502444806638)]",0.03719420800942901,809.380343259779
500,0.021938496117863547,12,0.6217842188295148,0.813790804468072,0.29313552744920257,3.273636067926674,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,20712.479177123285,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,750.9887668793906
500,0.03920713526815073,15,0.605439085221614,0.9108787504700573,0.11628591831318058,4.335563444560803,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,4548.130336837077,-1,42,0.4549669964320599,0.16977842499247373,"[np.float64(0.46895340099696253), np.float64(0.47292220093769516), np.float64(0.45804669474842835), np.float64(0.453241750100544), np.float64(0.42167093537666955)]",0.018105786809309597,164.90516485542264
500,0.03992863986598957,8,0.8358718590080696,0.9020124918002863,0.0013781512109545127,0.26882007722208445,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,13433.876808622414,-1,42,0.4774020626831007,0.3045707886653463,"[np.float64(0.4643495930657127), np.float64(0.4791770296442897), np.float64(0.5231992041148953), np.float64(0.466428888935927), np.float64(0.453855597654679)]",0.024272380153459592,487.0827143695981
500,0.08757635098577089,10,0.9842922828755233,0.5564843867339313,0.9842318116834389,1.6442928292673624,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,11076.377437210496,-1,42,0.4292045584295628,0.14388578703743407,"[np.float64(0.42518018351730924), np.float64(0.4652809381184713), np.float64(0.4282539212158415), np.float64(0.4365831975107423), np.float64(0.3907245517854497)]",0.023890415241372757,401.6049919436403
500,0.09739241825669458,10,0.9903335912033814,0.5019391967270346,0.8724411485289195,1.7170751076163595,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,11640.148724160203,-1,42,0.4447453491912105,0.21866220429659497,"[np.float64(0.4676198842168764), np.float64(0.48706171219321176), np.float64(0.4358000127002942), np.float64(0.4335562940541456), np.float64(0.39968884279152467)]",0.03016362610528941,422.04609413946014
500,0.08885237536782549,10,0.9993020141252748,0.5127121256695744,0.87968679944128,0.6019063317490612,hist,binary:logistic,<function eval_function at 0x00000247F9456020>,9810.896239849733,-1,42,0.4250050462220562,0.15506991471591275,"[np.float64(0.4286409770656281), np.float64(0.43737233693523975), np.float64(0.4355777575513833), np.float64(0.4341701416082806), np.float64(0.3892640179497492)]",0.018107303349407695,355.721437600002
