n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,device,random_state,scale_pos_weight,reg_alpha,reg_lambda,colsample_bytree,subsample,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,188,10,0.027087997951751906,18,cpu,42,27.46147358274595,0.2699550716673978,0.10462236523854845,0.8355437375863395,0.9317311549208148,0.48386235576934,0.7047854996774948,"[np.float64(0.46613965291858545), np.float64(0.4718256989310663), np.float64(0.5136217154583682)]",0.02117069352729115
300,binary,-1,gbdt,499,14,0.06591567840447093,97,cpu,42,27.46147358274595,0.4072850599554366,0.33863626778759087,0.8950665324896153,0.9419825733683554,0.555126512787334,0.8678486211994919,"[np.float64(0.5577060279690653), np.float64(0.6455877136630281), np.float64(0.46208579672990885)]",0.07493654561677252
300,binary,-1,gbdt,440,12,0.05210546802676295,63,cpu,42,27.46147358274595,0.47636941287929757,0.3156805588692605,0.9633025712709,0.8381315550232749,0.48970996870885014,0.787871449909745,"[np.float64(0.5632427254402324), np.float64(0.4354489132484524), np.float64(0.4704382674378656)]",0.05392194025339179
300,binary,-1,gbdt,379,17,0.1064350717453017,22,cpu,42,27.46147358274595,0.18796883794234764,0.23497952661685328,0.948841791555287,0.9806897740885955,0.5960784570813992,0.9999765424982549,"[np.float64(0.5088530738445376), np.float64(0.6216503736848527), np.float64(0.6577319237148072)]",0.06341224999295773
300,binary,-1,gbdt,341,15,0.06639278266731552,72,cpu,42,27.46147358274595,0.11795457677497645,0.11305794690657822,0.9232603688800007,0.8666892575015926,0.5347379649761591,0.8490748833507452,"[np.float64(0.543786650558143), np.float64(0.6366964406677885), np.float64(0.4237308037025459)]",0.0871779775901922
300,binary,-1,gbdt,341,15,0.03921292005465717,29,cpu,42,27.46147358274595,0.24030736869585356,0.278573706404847,0.9517787100824578,0.8755551388612004,0.516479742336958,0.8218393580235198,"[np.float64(0.5442710218062383), np.float64(0.5035725184452776), np.float64(0.5015956867593583)]",0.019667966795161144
300,binary,-1,gbdt,133,12,0.10482699276840769,56,cpu,42,27.46147358274595,0.46408919873459614,0.03288201317252537,0.875479273534643,0.9112932749682408,0.4040071682181387,0.5676216257225747,"[np.float64(0.5353727531345878), np.float64(0.31208956912394187), np.float64(0.36455918239588636)]",0.09532734044528693
300,binary,-1,gbdt,184,12,0.052369332517553525,83,cpu,42,27.46147358274595,0.4912863199029002,0.3416244288134485,0.9247742220336334,0.9539224107569615,0.46046521351989633,0.6574028464961473,"[np.float64(0.5677037273914568), np.float64(0.39671213389284354), np.float64(0.4169797792753887)]",0.07627917367745841
300,binary,-1,gbdt,128,16,0.03321177249271388,38,cpu,42,27.46147358274595,0.3854263835220048,0.28262453685656985,0.9238785793824762,0.9772791254043067,0.45504274893934743,0.6056911717932437,"[np.float64(0.4368598243587708), np.float64(0.43683246384691354), np.float64(0.49143595861235806)]",0.025733887773092587
300,binary,-1,gbdt,176,10,0.014052430058868436,86,cpu,42,27.46147358274595,0.3728412967436261,0.2770814876899639,0.9566128508973464,0.9601891886639893,0.5107800914485155,0.7372583535782805,"[np.float64(0.48940343289434896), np.float64(0.5006720394840145), np.float64(0.5422648019671831)]",0.022733391313973745
300,binary,-1,gbdt,274,20,0.24428038455084247,11,cpu,42,27.46147358274595,0.0045564994841063855,0.4800487424994374,0.9945956632249167,0.8060575475447704,0.5336242979045002,0.9999166598824262,"[np.float64(0.41801945903307997), np.float64(0.565169936137701), np.float64(0.6176834985427195)]",0.08450947732643842
300,binary,-1,gbdt,505,18,0.14152623350790358,100,cpu,42,27.46147358274595,0.19542181032277633,0.4250591313396704,0.8702985283735889,0.997949379873322,0.5909013278886457,0.9998769723296123,"[np.float64(0.5134814960876716), np.float64(0.6072085577148882), np.float64(0.652013929863377)]",0.05771916556574876
300,binary,-1,gbdt,426,18,0.18253204873460493,42,cpu,42,27.46147358274595,0.18256312612970338,0.4262502027534615,0.8493283961932037,0.9953725298960563,0.5665815960340962,0.9999936597418676,"[np.float64(0.48125006400696524), np.float64(0.5935916228884076), np.float64(0.624903101206916)]",0.06167768336114001
300,binary,-1,gbdt,502,18,0.13604539544848035,46,cpu,42,27.46147358274595,0.09358674412602196,0.18640242505026733,0.8117300612636633,0.9999834538014324,0.5811007997188896,0.99994959033866,"[np.float64(0.5011449277701585), np.float64(0.5985351639454335), np.float64(0.643622307441077)]",0.05945821345819603
300,binary,-1,gbdt,405,18,0.10010296317577194,27,cpu,42,27.46147358274595,0.2571492296573912,0.1942069535909859,0.8685798236576382,0.9731432491655334,0.6037074559937204,0.9999881091337396,"[np.float64(0.5179989068988435), np.float64(0.623488322408838), np.float64(0.6696351386734798)]",0.06346573198087477
300,binary,-1,gbdt,397,20,0.09502972544300702,24,cpu,42,27.46147358274595,0.29844237599314277,0.19419539972123917,0.9850603922496772,0.9169094536673555,0.6046996679420847,0.9999339354436696,"[np.float64(0.515000001570471), np.float64(0.6303423535445807), np.float64(0.6687566487112027)]",0.0653372641436784
300,binary,-1,gbdt,271,19,0.26833551262280103,35,cpu,42,27.46147358274595,0.3160701371896853,0.18802593250323751,0.9895906830615432,0.9131221645795317,0.5102375830719428,0.9994000091607323,"[np.float64(0.38197275414894566), np.float64(0.5484168587879545), np.float64(0.6003231362789282)]",0.09313955538053917
