C,penalty,solver,max_iter,class_weight,random_state,score,training_score,cv_scores,cv_std
0.0019596791925904004,,newton-cg,1000,,42,0.9190229961090304,0.9999433872184298,"[np.float64(0.9999696503112584), np.float64(0.9999959083306872), np.float64(0.7571034296851455)]",0.11449442392694659
8.553528435092705,l1,liblinear,1000,balanced,42,0.915486592878278,0.9997974092427772,"[np.float64(0.9999804344174756), np.float64(0.9999968315122513), np.float64(0.7464825127051071)]",0.11950393132613074
0.1662855275242626,l2,liblinear,1000,,42,0.9261598379061974,0.9999566554268807,"[np.float64(0.9998773552559013), np.float64(0.9999889669032535), np.float64(0.778613191559437)]",0.10433124412313541
0.27954409875042285,l1,liblinear,1000,balanced,42,0.9249298463215259,0.9999762197280316,"[np.float64(0.99992920922471), np.float64(0.999991698963699), np.float64(0.7748686307761689)]",0.10610930617199875
1.3730458337340272,l2,lbfgs,1000,,42,0.9255317276469744,0.9999687020750573,"[np.float64(0.9998987611695578), np.float64(0.9999909283717014), np.float64(0.776705493399664)]",0.10523604618150814
0.03655902359233446,l2,saga,1000,balanced,42,0.9282160391730393,0.9999064636608174,"[np.float64(0.9998045034452371), np.float64(0.9999732321999095), np.float64(0.7848703818739713)]",0.10136070973582269
0.0024045706356365343,l1,liblinear,1000,,42,0.926055146522408,0.9999654552053805,"[np.float64(0.9999352892595318), np.float64(0.9999901005859331), np.float64(0.7782400497217588)]",0.10452105970476101
0.0007116422516780196,l2,newton-cg,1000,balanced,42,0.9281632975322479,0.9998075494496156,"[np.float64(0.9997060869051535), np.float64(0.9998820884246779), np.float64(0.7849017172669126)]",0.10130126037131215
40.191315838209356,,newton-cg,1000,balanced,42,0.9185578090535539,0.9998847473661954,"[np.float64(0.9999798413486732), np.float64(0.9999959578561333), np.float64(0.7556976279558555)]",0.11515953862740975
0.00036754768904321563,l1,saga,1000,,42,0.6028728033236382,0.6746108549533752,"[np.float64(0.04006502523114438), np.float64(0.9999821215591633), np.float64(0.7685712631806071)]",0.40902501362380633
