objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
binary,-1,gbdt,58,10,0.024152951431147342,0.7353664477103442,0.8498285364255528,1,97,0.10852037880255865,6.722891764536944e-07,cpu,42,1678.642949720668,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,222,11,0.03657336818595987,0.9102984059796334,0.7658142761258229,6,98,9.48407604397369e-06,0.01232774338564586,cpu,42,2385.6917807043496,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,238,18,0.21758219635723913,0.6728289638673747,0.8368342760035414,10,97,1.1465429294421638e-08,3.933649248478319,cpu,42,2029.251728886296,0.43902613876322577,0.13680379747736895,"[np.float64(0.4342607977817054), np.float64(0.4470032914580842), np.float64(0.4297356222085812), np.float64(0.4759964439176174), np.float64(0.40813453845014075)]",0.02233271846753817
binary,-1,gbdt,103,18,0.08481311587668168,0.9192097365688832,0.6228742523162902,2,19,0.007016987826258364,0.0023867719877131706,cpu,42,1828.6969812450382,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,16,11,0.16688935367352323,0.9215941690093696,0.8997146310940352,7,14,1.1231379697474735,1.738454505353323e-05,cpu,42,2406.871657062717,0.9179183236462192,0.9074051970643039,"[np.float64(0.9195868214675035), np.float64(0.9267729952268566), np.float64(0.9158288000338675), np.float64(0.9164955654806003), np.float64(0.9109074360222679)]",0.005229378333619843
binary,-1,gbdt,149,12,0.22833239156121007,0.609338252619485,0.6464611759039368,8,65,0.001925192432064641,8.249702245276648e-07,cpu,42,1252.913147828288,0.5800962645437095,0.28037889822120865,"[np.float64(0.5725337877168287), np.float64(0.5492078275318297), np.float64(0.6919543636094236), np.float64(0.5605486527104545), np.float64(0.5262366911500116)]",0.05797669134734033
binary,-1,gbdt,177,20,0.011060940852450176,0.843827903885083,0.7801593527740781,9,41,1.0250454888771926e-05,1.5633812438864593e-06,cpu,42,1160.2286770202027,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,95,15,0.04030391060321563,0.9984361287528003,0.7228965497801115,7,17,7.30872122236177e-05,8.285673750849124,cpu,42,1398.9049289028912,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,52,20,0.09039426998228164,0.6566172127623875,0.6171689706434071,10,93,0.07463730638841969,1.0321472636685172e-05,cpu,42,669.0123847796015,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,37,18,0.012435514375167163,0.8913660660632841,0.9749023540887024,10,75,7.104951534726018e-05,0.05950041098882664,cpu,42,1089.074383931097,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,81,14,0.0267697892341562,0.7355053072064125,0.8854829024741334,1,49,3.3407579613000147,1.355153210776929e-08,cpu,42,282.89842189703313,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,244,10,0.02224754988641754,0.7738382382074926,0.7557817303959657,4,81,6.87440779691432e-07,0.0023985079583188303,cpu,42,2466.49946490969,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,190,12,0.04240387935742735,0.8138964006187572,0.830191715479788,4,99,8.325810771409414e-07,0.07582640280243633,cpu,42,1928.3483279052623,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,202,10,0.02459826896942736,0.7383976701508446,0.6967088667411095,5,84,0.056133025992970056,1.2837633413684182e-08,cpu,42,2688.373170918052,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,123,13,0.06672319889743075,0.9868573810980661,0.9162097763462598,2,60,0.0013991587806281751,0.0002828872799978744,cpu,42,1662.0077156969487,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,153,10,0.018260737080284094,0.8482568821531533,0.8195662497158991,6,74,2.596885096884772e-06,0.04874257297724623,cpu,42,2173.386075470601,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,219,16,0.037970295648596185,0.7287501507817674,0.6927902299478877,4,35,2.5893429071766104e-08,0.00017188199401664995,cpu,42,2724.783415084219,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,60,12,0.016425788182405338,0.7741063361436484,0.8588982483567593,3,89,0.19964503014694907,3.2477886555990666e-07,cpu,42,1657.7197063869717,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,135,13,0.11867551444235128,0.9472471161044522,0.9381387156500793,6,73,8.669427913149767e-05,0.003923930428747317,cpu,42,846.8940782229905,1.0115210366594674,1.0000630038275564,"[np.float64(1.0941716849937029), np.float64(1.0224792828643094), np.float64(0.9948881315750482), np.float64(1.0232415384289737), np.float64(0.9228245454353026)]",0.055194753516453074
binary,-1,gbdt,255,11,0.053131435260457056,0.8623438121243993,0.7867658320594709,1,100,0.00758158490633474,0.356852179910891,cpu,42,2403.661115888214,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,177,15,0.030644784503398043,0.7031483731443411,0.7379658478729909,5,86,7.679728884208672,4.708353257722722e-05,cpu,42,2204.758587276589,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,102,17,0.06993642196727715,0.9455263418328183,0.6021641211964711,2,28,0.010069749359527846,0.0029072382375617987,cpu,42,1776.5322931564997,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
