n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std
300,0.1952503961806042,13,0.6620144178639676,0.8367714670887898,0.48494791764734685,1.5881047266650938,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8657293305494154,0.9999997935499358,"[np.float64(0.8614463935936567), np.float64(0.8657095239171526), np.float64(0.8700320741374369)]",0.0035051173852880253
300,0.12158674580743487,13,0.6962551680329832,0.8215582450328821,0.0034229805480478536,1.590831854420585,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.873611029564079,0.9999990219762332,"[np.float64(0.8687466432621103), np.float64(0.874295771562811), np.float64(0.8777906738673154)]",0.0037238220598906483
300,0.045843653444908164,10,0.7320058612199618,0.6884953973985535,0.0017213235404176202,1.968409267240438,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8475618855502035,0.9938890859506962,"[np.float64(0.838590530177284), np.float64(0.8491014844384547), np.float64(0.8549936420348719)]",0.0067844573944501226
300,0.020404314676967992,11,0.9105355019986108,0.5662984505825281,0.04312830957353913,1.2917756993231588,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8228401243837907,0.9731626630978217,"[np.float64(0.8155267984086663), np.float64(0.8261676799762314), np.float64(0.8268258947664745)]",0.005178279269625276
300,0.01982267982802501,15,0.7675472454340966,0.6951523594010593,0.5660925119307358,1.503093435990213,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8526317144901467,0.9992716629125343,"[np.float64(0.8489951856509155), np.float64(0.8541986024851966), np.float64(0.8547013553343282)]",0.0025795925525488477
300,0.2298427272117701,9,0.5713852335261893,0.7030585023984164,0.12343605222089235,0.2816741268163231,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8668055117876171,1.0,"[np.float64(0.862006963812691), np.float64(0.8658096294786684), np.float64(0.8725999420714922)]",0.004381524337321906
300,0.09019594346816039,10,0.7770009081489735,0.9151708592819964,0.019478299874415655,0.6873043194801959,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.870151499348751,0.9999936534437456,"[np.float64(0.8627376869096556), np.float64(0.8737326510953606), np.float64(0.873984160041237)]",0.005243362492970146
300,0.02773456961893879,12,0.7409531082825375,0.7775666356451603,0.003183733208274854,0.2430372825447208,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.848257891277758,0.99662770400175,"[np.float64(0.8423525653158634), np.float64(0.849734623628734), np.float64(0.8526864848886764)]",0.004346111462112308
300,0.03972449125351661,9,0.827489396581894,0.5661203943472611,0.001161033094424689,0.7110042963268148,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.824330658975876,0.9663558995255223,"[np.float64(0.8142250555322587), np.float64(0.826393617169356), np.float64(0.8323733042260133)]",0.0075512285995338315
300,0.026896225839376783,10,0.5797015599036848,0.5828320098001436,0.009952716545853365,1.8006255145735683,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8047619349044259,0.9506720413823674,"[np.float64(0.7967304060512967), np.float64(0.8077450752908127), np.float64(0.8098103233711683)]",0.005741393802747325
300,0.0934181085093778,15,0.9121842735289961,0.9838489337439447,0.007650738325760435,3.4148786191988867,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8654467071189912,0.9999529775699173,"[np.float64(0.8612406934070019), np.float64(0.8661934207885377), np.float64(0.8689060071614338)]",0.0031735831186726978
300,0.09706797527585186,13,0.6743891736362635,0.9125480249384168,0.0227643382773003,4.9351701419148215,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8636762588058534,0.9998418887405318,"[np.float64(0.8565019789897934), np.float64(0.8651117393110179), np.float64(0.8694150581167489)]",0.005368572519474424
300,0.10176228154334375,8,0.8284295992516948,0.8662717177279246,0.005691928442778764,3.1053723699657114,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8551825961263259,0.9966192414991673,"[np.float64(0.8463826117824133), np.float64(0.8578052132662398), np.float64(0.8613599633303248)]",0.006389515127371287
300,0.1492732769138616,13,0.6426716703674477,0.8975976938338321,0.027669172871247368,2.6570079793877146,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8638271772360459,0.9999966564881233,"[np.float64(0.8567470116034057), np.float64(0.8673835023245313), np.float64(0.8673510177802004)]",0.005006450695560582
300,0.011176522611902693,12,0.9792239441732002,0.9874341891288372,0.05847301154152352,0.7179543829381311,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.7928281914292179,0.9630011156012003,"[np.float64(0.7868296063986046), np.float64(0.7958162859815245), np.float64(0.7958386819075245)]",0.004241650006895815
300,0.06504748888290737,14,0.5215400208656165,0.8020302162429993,0.014492489353187029,0.9597204953857561,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.86821251926074,0.9999987949236412,"[np.float64(0.8613860766634708), np.float64(0.8692852169836618), np.float64(0.8739662641350872)]",0.005191550154422393
300,0.1300777298445873,11,0.8042361744541301,0.9342933794834595,0.003491951886348362,2.5502120473969425,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8710957389335715,0.9999922418638093,"[np.float64(0.8654742771488613), np.float64(0.8709587723851707), np.float64(0.8768541672666825)]",0.0046468300772287835
300,0.2832018987424615,11,0.6998607480065623,0.9543369779970687,0.002417919821576081,3.5326321632899695,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8565324313481879,0.9999680096604733,"[np.float64(0.8484448474770596), np.float64(0.8582613969166705), np.float64(0.8628910496508333)]",0.0060230214324780455
300,0.15186346775849557,14,0.8352304641536117,0.8354470803101559,0.003799185632010264,4.263637521659595,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8651200797022165,0.9999145280865199,"[np.float64(0.8586100074123011), np.float64(0.8668461041621833), np.float64(0.8699041275321653)]",0.0047696021949971855
300,0.06172646349832272,12,0.6086887625478685,0.7442509610784046,0.13182220515704532,2.4350240922706696,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8657618078491601,0.9999060186863556,"[np.float64(0.8564169879903352), np.float64(0.8681237802061289), np.float64(0.8727446553510164)]",0.006871795758585831
300,0.15943292367091666,14,0.8995346764211771,0.6486503486862278,0.004529893573223424,2.2583878119586935,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8707442600114575,0.9999920343589165,"[np.float64(0.8673750165208348), np.float64(0.869098900519222), np.float64(0.8757588629943159)]",0.003615026631229036
300,0.13562587825397748,14,0.8909855064649077,0.6334252044666944,0.0011218914463600983,2.236295924421949,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8722015908242519,0.9999904046199776,"[np.float64(0.8672113615732312), np.float64(0.8731496477920122), np.float64(0.8762437631075124)]",0.00374790415918999
300,0.12446666823289321,13,0.9869397792401375,0.63352152664897,0.0011642053483144202,2.670803775323657,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8704775225150018,0.9999652545615806,"[np.float64(0.866566810376426), np.float64(0.8701633492949337), np.float64(0.8747024078736454)]",0.003328765063137425
300,0.07472284962029252,14,0.865106330906136,0.515943375699848,0.0020628579897655035,2.0753595667196434,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8784846424544884,0.9999936775929621,"[np.float64(0.8762946423161905), np.float64(0.8777060998407188), np.float64(0.8814531852065559)]",0.0021767311331484115
300,0.0761172269385124,14,0.8716106014155651,0.5068700775723952,0.0010059034284397817,2.1357477430846767,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.87903862696845,0.9999936148015421,"[np.float64(0.8764152447130793), np.float64(0.8776126371199275), np.float64(0.8830879990723431)]",0.002904765965424808
300,0.05664549116783042,15,0.8620364339325448,0.5203768822795133,0.002127607246167001,1.1536776277986918,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8819335251135874,0.9999998405305982,"[np.float64(0.878032370644192), np.float64(0.8818521404813807), np.float64(0.8859160642151895)]",0.0032190188644074334
300,0.07427113812984053,15,0.9472719702130947,0.5122670199397257,0.0018604480528783983,1.9968838326670872,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8776183481557799,0.9999914279585375,"[np.float64(0.8751173506266225), np.float64(0.8765056316902169), np.float64(0.8812320621505002)]",0.0026173813509704448
