metric,mean,ci_low,ci_high
roc_auc,0.9191414618442473,0.9140780381470541,0.9235849272420126
pr_auc,0.5741819650289061,0.5590811945514073,0.5895667575665696
precision,0.06625274450241128,0.06447881957095225,0.0680105026733636
recall,0.9625320590791122,0.9575818485288853,0.9679848650190443
f1,0.12397069547119263,0.12083376948803953,0.12704253357710887
custom_loss,0.5961955159684357,0.5773867985233854,0.6135545432993532
