objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
binary,-1,gbdt,98,18,0.27780932676738723,0.6289838020200565,0.8561952384585991,5,22,1.3891738894974972e-06,0.7586768808878722,cpu,42,2379.9379555533264,0.6138534900208228,0.14904420970764445,"[np.float64(0.6194397112830337), np.float64(0.5762697513943718), np.float64(0.6427407234934276), np.float64(0.634676036661516), np.float64(0.5961412272717651)]",0.02459885458767559
binary,-1,gbdt,240,16,0.09443684156582843,0.6025184211278772,0.7304198786979328,1,70,0.07592672590350316,0.009466697237663114,cpu,42,889.4192557451261,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,174,16,0.02544225928529945,0.8767157680401059,0.6461776214219578,4,58,1.1860054545247893e-06,1.7614336853939649e-07,cpu,42,1239.728008843319,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,168,17,0.07227842253368556,0.6648279069923321,0.8145832125187898,5,10,0.00010592602406712055,7.816639117051778e-08,cpu,42,2031.0666774678425,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,117,18,0.089027729396391,0.663742149853967,0.7151211353118745,9,13,2.4035265118790634,1.1721187871909062e-06,cpu,42,1611.0192514429104,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,186,19,0.02399521107771353,0.8498985725488344,0.7157695830878322,9,45,0.25771397190881573,0.07027765941478661,cpu,42,595.8922289372729,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,201,17,0.019847878692968095,0.6849874955711723,0.9536965368692685,1,16,0.001235154968942139,0.004736472699087995,cpu,42,2699.3913122746126,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,49,10,0.09427991214989905,0.9642239579337265,0.6399352677122544,4,31,1.3916642208542829,3.050163640397082e-06,cpu,42,1848.7511250779555,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,161,19,0.23546203430743504,0.9096049632215617,0.8074379705749806,7,40,0.0015741153528407604,9.497389260870045e-06,cpu,42,2608.0772947182018,0.5665937576050464,0.18290459040975499,"[np.float64(0.5523299501518727), np.float64(0.5587646977891139), np.float64(0.5806362847405965), np.float64(0.5742332197362572), np.float64(0.5670046356073916)]",0.010202677603475848
binary,-1,gbdt,168,12,0.07868851966555404,0.6151539371012845,0.9086627643175533,3,33,0.0017513312491037696,4.916955511740507e-06,cpu,42,2148.4411519542714,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,27,20,0.254723677284617,0.9885309528494413,0.9974521682832848,7,94,8.729639109252213e-08,0.00017497356470884764,cpu,42,2744.3326358640306,0.5192620060023662,0.1782446989284909,"[np.float64(0.5300835035507531), np.float64(0.5204207986283828), np.float64(0.5208073153694728), np.float64(0.5266388671337553), np.float64(0.4983595453294668)]",0.011064958498917433
binary,-1,gbdt,19,20,0.28864050393351354,0.9976959374132184,0.9986788153344638,7,100,5.081879277253578e-08,7.900150882643365e-05,cpu,42,2698.5705122223194,0.5798082311443314,0.28922523615227036,"[np.float64(0.5757511615354494), np.float64(0.6216093219173008), np.float64(0.5680629934593485), np.float64(0.6302732679973753), np.float64(0.5033444108121838)]",0.04537659611796394
binary,-1,gbdt,91,20,0.17168611567413566,0.9263258734498779,0.8792107464296459,7,94,4.959788823338062e-05,0.00023509727932096203,cpu,42,2389.7497764667846,0.4134690330938747,0.152146235975619,"[np.float64(0.4097706562807582), np.float64(0.41492480447045627), np.float64(0.4286878479351438), np.float64(0.42248587092267637), np.float64(0.3914759858603391)]",0.012746819819648673
binary,-1,gbdt,74,14,0.16883776541970671,0.7795159206653436,0.9023376451993989,7,100,2.5022125654944494e-08,0.000402946753030816,cpu,42,2265.2759938304275,0.40009352262321346,0.1166569920475006,"[np.float64(0.4082678040365341), np.float64(0.4088393112279996), np.float64(0.4083462100205321), np.float64(0.39410071333319224), np.float64(0.3809135744978092)]",0.011092328137062943
binary,-1,gbdt,72,12,0.010210751802277982,0.778913268891831,0.8830507331248952,10,85,1.9427770345675432e-05,0.007158566278440258,cpu,42,2249.3511261814706,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,82,14,0.1669356946154248,0.7565993782669075,0.9118771417001933,8,81,1.0422643830250631e-08,6.1096596978543865,cpu,42,1471.9953218137098,0.37441785663527394,0.11344914881362116,"[np.float64(0.38869897446209534), np.float64(0.3832908230761904), np.float64(0.38952860741273837), np.float64(0.36885887856402005), np.float64(0.3417119996613255)]",0.017953216795331593
binary,-1,gbdt,128,14,0.14545754594803986,0.7602470146475214,0.929773408210143,8,76,2.291823246123679e-08,5.23998974886148,cpu,42,1224.230723894894,0.37551433013294433,0.11270300204895234,"[np.float64(0.3747817160032597), np.float64(0.3902335771058453), np.float64(0.3827127828461359), np.float64(0.39139131723218257), np.float64(0.33845225747729824)]",0.019466312569452335
binary,-1,gbdt,135,14,0.04331346856246393,0.7383621497430523,0.9469064674481911,9,74,1.0863882181902851e-08,5.6304672740056585,cpu,42,1172.352012216828,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,119,13,0.14652543216716593,0.7273279532784253,0.9480987031685841,8,72,9.301651885163735e-07,9.04468285814378,cpu,42,1397.3542300886268,0.363593021317428,0.1287397075786983,"[np.float64(0.36895022595700994), np.float64(0.37998878152550086), np.float64(0.3737061575259827), np.float64(0.3648794530406621), np.float64(0.33044048853798447)]",0.017323633883191972
binary,-1,gbdt,51,12,0.04848387867075667,0.8244077728387676,0.845229321039987,10,62,1.1507736772168402e-06,0.11795120038208994,cpu,42,296.68136850709476,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,107,10,0.12664868828240447,0.712418785811243,0.7557547284801798,6,82,3.344393972327113e-07,0.3922070306842195,cpu,42,1554.4370861753005,0.7308374535931723,0.6860897396319097,"[np.float64(0.7164477653010467), np.float64(0.7453512123360886), np.float64(0.7485447579535592), np.float64(0.7265944161039731), np.float64(0.7172491162711936)]",0.013666800854729119
binary,-1,gbdt,137,14,0.1590629482649914,0.7460775769660094,0.9389238759977941,8,69,8.926174560558839e-06,7.737795132347047,cpu,42,1287.911719851139,0.37634831240152283,0.10685610793368357,"[np.float64(0.38087779271222494), np.float64(0.38589435583731097), np.float64(0.3814215862667485), np.float64(0.394227716275427), np.float64(0.33932011091590286)]",0.01912141225443572
binary,-1,gbdt,124,13,0.12935884470544928,0.804540711229276,0.9538672233083425,8,80,1.1974930151504646e-07,1.573784728248605,cpu,42,971.0724192345475,0.7234311288777879,0.6690793565807518,"[np.float64(0.6985299565019526), np.float64(0.7332543101167356), np.float64(0.732489469339373), np.float64(0.731801536735601), np.float64(0.7210803716952776)]",0.013222757611780754
binary,-1,gbdt,144,15,0.20335190919478546,0.741750163040804,0.9214485444270893,8,50,1.1898378067018147e-08,8.645015126694599,cpu,42,1840.267782813858,0.38218831682563276,0.11830487935579719,"[np.float64(0.37957602633166465), np.float64(0.3939060399843365), np.float64(0.39237559003450245), np.float64(0.39392079249835954), np.float64(0.35116313527930065)]",0.016420246700187203
binary,-1,gbdt,75,13,0.12812307842187812,0.7146843810148018,0.9789254479766204,6,64,3.093932998127311e-07,0.06100635051834323,cpu,42,1409.4564188369468,0.7777077145086381,0.743039739082764,"[np.float64(0.7732068961867771), np.float64(0.7712277879496651), np.float64(0.7795758101729356), np.float64(0.7636263573439451), np.float64(0.8009017208898673)]",0.0126647790884737
binary,-1,gbdt,213,15,0.06091825352968643,0.7736225181997092,0.8449366085829213,9,76,7.283993177074536e-06,1.3063742641105653,cpu,42,916.9342745536975,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,89,11,0.11178431678023455,0.8309663097984369,0.8826126929680027,8,88,3.662191266058008e-07,0.23677789771442873,cpu,42,1717.0900427316358,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,46,13,0.20599424347317222,0.6881534242581973,0.7727513726786537,10,66,2.7559441486323167e-06,2.181664449039522,cpu,42,1060.7142241920421,0.4059144144847159,0.13996832429237402,"[np.float64(0.42087271264830084), np.float64(0.43229227301110207), np.float64(0.3969371123764367), np.float64(0.4002603560315814), np.float64(0.3792096183561586)]",0.018682872213829107
