iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,trial_number,training_score
500,0.14128557268421704,11,4.249302809168952,0.7191705040754767,165,PRAUC,CPU,False,27.580278281911674,42,0.8932224147588125,0,0.9991148715719247
500,0.19771843149130258,12,9.962558558854493,0.5624062571790424,146,PRAUC,CPU,False,27.580278281911674,42,0.8953388266040441,1,0.9995230339209583
500,0.010157114471896234,14,5.233255539810063,0.6402966441003786,79,PRAUC,CPU,False,27.580278281911674,42,0.7914642240235282,2,0.91194159332332
500,0.27958988504926996,12,3.233903878215325,0.6790795940638895,254,PRAUC,CPU,False,27.580278281911674,42,0.8889387704961698,3,0.9999951740909117
500,0.11221907758948511,13,5.904705747257314,0.7580273853015529,89,PRAUC,CPU,False,27.580278281911674,42,0.9006892588167017,4,0.9999458010776113
500,0.10820207998716196,11,6.074151145935683,0.8193938490338794,61,PRAUC,CPU,False,27.580278281911674,42,0.8914485241136186,5,0.9970482505604201
500,0.24789946903353727,11,3.7969668276624815,0.8160229492301048,99,PRAUC,CPU,False,27.580278281911674,42,0.89365333977311,6,0.9999470668963314
500,0.025714318707477375,10,6.215873336855716,0.9203499920421534,80,PRAUC,CPU,False,27.580278281911674,42,0.7350542446926143,7,0.8066587699774073
500,0.03484050208227709,15,4.409735208214817,0.887706135174265,223,PRAUC,CPU,False,27.580278281911674,42,0.8812141166463193,8,0.9994625653588702
500,0.06252965703548574,13,2.588258665142013,0.591005929760404,97,PRAUC,CPU,False,27.580278281911674,42,0.8921605126310514,9,0.9997701943795101
500,0.07515008986382371,16,8.277227515617618,0.9994026326444211,183,PRAUC,CPU,False,27.580278281911674,42,0.8968186274748748,10,0.9999967736188273
500,0.06981507598667507,16,8.323417354248592,0.9900692751590969,187,PRAUC,CPU,False,27.580278281911674,42,0.8932471079229565,11,0.9999956376633963
500,0.09655695708861221,14,1.0956527094611683,0.9910886616274776,121,PRAUC,CPU,False,27.580278281911674,42,0.8902618741830557,12,0.999998989613507
500,0.03896884381422989,16,7.782618756964971,0.5058960833379431,38,PRAUC,CPU,False,27.580278281911674,42,0.8855935681534839,13,0.9999135280026092
500,0.1321964970714904,14,7.685881513565805,0.785107736588057,194,PRAUC,CPU,False,27.580278281911674,42,0.8975656297981223,14,0.9999891102802544
500,0.15041157853324266,14,7.058486468637509,0.7762393519047859,209,PRAUC,CPU,False,27.580278281911674,42,0.897592723953909,15,0.9999985047196137
500,0.17736939298641377,13,6.7716045475691695,0.737962076039083,133,PRAUC,CPU,False,27.580278281911674,42,0.8965269483428708,16,0.9999842505759937
500,0.043172887714228225,15,9.809394466279409,0.8685926651694251,235,PRAUC,CPU,False,27.580278281911674,42,0.8839146704498847,17,0.9992495534566554
500,0.019676735278858454,12,5.028577701861156,0.6793426630194985,212,PRAUC,CPU,False,27.580278281911674,42,0.7847171767262318,18,0.8897917459975504
500,0.0954277885986553,13,7.010794276571156,0.7830591778390155,158,PRAUC,CPU,False,27.580278281911674,42,0.9008327974838714,19,0.999750334125919
500,0.08253644246870029,13,5.793660702012206,0.842622262120486,158,PRAUC,CPU,False,27.580278281911674,42,0.8969247513644181,20,0.9997178697574665
500,0.13439758617254818,13,6.602553835509013,0.7647130757679294,123,PRAUC,CPU,False,27.580278281911674,42,0.8995502470254291,21,0.9999806716676847
500,0.11501566771049093,13,6.963706225819239,0.7118882337264334,122,PRAUC,CPU,False,27.580278281911674,42,0.8978989943240787,22,0.9999773894738474
500,0.052522048067522246,12,9.041454301043844,0.7742151809618474,107,PRAUC,CPU,False,27.580278281911674,42,0.8676467313915762,23,0.9846051955048877
500,0.17996982463491867,13,6.45392747251847,0.9265962293912492,147,PRAUC,CPU,False,27.580278281911674,42,0.8951944371646297,24,0.99990823728749
500,0.08979971108862403,15,5.038777494465516,0.6700513941819923,169,PRAUC,CPU,False,27.580278281911674,42,0.9001213002085857,25,0.9999979591626201
500,0.08557999442246396,15,4.849521162905485,0.6326746772166659,177,PRAUC,CPU,False,27.580278281911674,42,0.9009539311136541,26,0.9999991574387095
500,0.05285274489377169,15,2.43107094401679,0.6354879132392989,35,PRAUC,CPU,False,27.580278281911674,42,0.8947192204531138,27,0.999996540833892
500,0.0979025279250711,14,5.4783433492838505,0.5865991375687521,172,PRAUC,CPU,False,27.580278281911674,42,0.898248043512091,28,0.9999906242678603
500,0.21171025400882185,12,4.064608423450392,0.7401989258369667,152,PRAUC,CPU,False,27.580278281911674,42,0.8953739051363694,29,0.999960916439882
500,0.05977281083404641,10,4.37545128806504,0.7011792811120819,201,PRAUC,CPU,False,27.580278281911674,42,0.8377351785096362,30,0.9447566542776231
500,0.08499499038158745,15,4.880764162419513,0.6617400922698503,170,PRAUC,CPU,False,27.580278281911674,42,0.9000383860993617,31,0.9999981136353427
500,0.12919832014863722,15,5.654847409057176,0.6145011889510352,178,PRAUC,CPU,False,27.580278281911674,42,0.8949854786087846,32,0.9999995934910073
500,0.08979334337139162,14,4.860842014110495,0.527218773712638,138,PRAUC,CPU,False,27.580278281911674,42,0.8978869242175004,33,0.9999976480731869
500,0.15874309931784747,16,7.436546550894732,0.6995248426240698,160,PRAUC,CPU,False,27.580278281911674,42,0.8931601353967439,34,0.9999988948983911
500,0.0703898166350239,11,3.6922543637537486,0.6407759457377534,63,PRAUC,CPU,False,27.580278281911674,42,0.8745983135969293,35,0.9902991010426947
500,0.010110107505632468,14,5.907184827033997,0.8086658335929503,165,PRAUC,CPU,False,27.580278281911674,42,0.7893752761431463,36,0.9056422190818005
