metric,mean,ci_low,ci_high
roc_auc,0.9167558848423135,0.9117943932173193,0.9211720139228533
pr_auc,0.5324067262279173,0.5171839340108764,0.5500247217620489
precision,0.0394809935795421,0.03832938624226508,0.0404781419404031
recall,0.996347675701486,0.9944009815332389,0.9979737975418835
f1,0.07595173607517898,0.07382324529772348,0.07779683184115375
custom_loss,0.8473228316456125,0.8417211365868527,0.853842881091882
