objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
binary,-1,gbdt,124,12,0.09173419414591893,0.768773770973299,0.9112956053687185,8,99,8.025132097671374e-06,1.7878139288295456,cpu,42,27339.933333215504,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,16,10,0.1748899009482272,0.6083640571114095,0.9974646062327618,9,84,0.061141359613187195,0.000723266122667984,cpu,42,18684.677890742747,7.831818981634398e-05,0.0,"[np.float64(0.00010583466508620233), np.float64(3.17503995258607e-05), np.float64(5.291789259784518e-05), np.float64(0.00013758652075439748), np.float64(6.350147111741422e-05)]",3.8218217665896137e-05
binary,-1,gbdt,179,13,0.1753526847310866,0.6131446516258887,0.8347592766501145,8,87,0.07534207056699317,0.0010153991166301694,cpu,42,10406.789872316802,0.0005799778402512173,9.789767986233295e-05,"[np.float64(0.0005715071914654926), np.float64(0.000497422925905151), np.float64(0.0006244311326545731), np.float64(0.0007196833393306944), np.float64(0.0004868446119001757)]",8.608668384270443e-05
binary,-1,gbdt,17,10,0.034019304182832714,0.6898976194353679,0.9459968318110114,10,87,2.597091390679143e-05,1.146828275043974e-06,cpu,42,18525.079583686587,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,98,18,0.010075882335833954,0.8818061991414352,0.9198874816796012,8,92,0.03434153059833769,6.302540962522426e-05,cpu,42,15930.81280323776,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,164,13,0.111606678822277,0.7695515927821018,0.8652506492477183,4,80,5.848666912933685e-07,0.005595023004323853,cpu,42,18454.853925917458,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,34,12,0.18861147331867567,0.6365651189881738,0.7761254042083391,9,64,0.35228533143567786,0.00018715098504017266,cpu,42,9719.961159104872,0.00019685384359391175,5.080094446988636e-05,"[np.float64(0.0001270015981034428), np.float64(0.00021166933017240466), np.float64(0.0002010879918718117), np.float64(0.00027517304150879497), np.float64(0.0001693372563131046)]",4.900575923678852e-05
binary,-1,gbdt,40,12,0.19672541044452632,0.631764994923225,0.7729292078691228,9,66,1.5576846136227274,0.00015513053402945075,cpu,42,7767.007791107562,0.0002307212052477736,4.709671159005697e-05,"[np.float64(0.00010583466508620233), np.float64(0.00027517012922412607), np.float64(0.0001693372563131046), np.float64(0.0003386745126262092), np.float64(0.0002645894629892259)]",8.263330974780304e-05
binary,-1,gbdt,29,10,0.13926727954787682,0.7125433592470395,0.8362121598235637,9,54,0.2499089410917899,4.559206877525665e-06,cpu,42,6443.836883804799,0.00015240285861610128,3.757154272777909e-05,"[np.float64(0.0001905023971551642), np.float64(0.0001270015981034428), np.float64(0.00013758652075439748), np.float64(0.0002010879918718117), np.float64(0.00010583578519569036)]",3.7027171826165346e-05
binary,-1,gbdt,16,10,0.1358594819722846,0.7094467326400524,0.8594614430153673,10,50,0.005315344400873232,8.916534782716696e-07,cpu,42,5991.582268467506,5.503429467110234e-05,8.99599833715022e-06,"[np.float64(0.00010583466508620233), np.float64(4.2333866034480934e-05), np.float64(2.1167157039138074e-05), np.float64(6.350147111741422e-05), np.float64(4.233431407827615e-05)]",2.8712172043503883e-05
binary,-1,gbdt,59,11,0.08894833110875866,0.7758908584171885,0.8710991936825445,10,39,0.007836168643225578,4.2896865417680817e-07,cpu,42,13050.669698842568,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,17,10,0.06490450498563011,0.6852204767963664,0.9449781404453322,7,46,4.398770178491144e-05,5.526433230204735e-08,cpu,42,16484.349056686966,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,74,11,0.04146272426208588,0.7206809260863394,0.9967534867176342,10,29,0.0035650349300863807,8.142708127915809e-08,cpu,42,20196.945619555143,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,99,14,0.11884667753794426,0.868588884306208,0.9268193631519477,8,31,6.065592808069813e-07,0.0011293864588075703,cpu,42,14229.280706472093,0.0005037762541278384,5.9796969409707315e-05,"[np.float64(0.0004762559928879105), np.float64(0.0005080063924137712), np.float64(0.0004339267193023305), np.float64(0.000571513240056728), np.float64(0.0005291789259784518)]",4.666435762732061e-05
binary,-1,gbdt,46,10,0.23408199228107848,0.7542073586854264,0.8076055224331972,10,95,0.09109167340617126,2.8242687333866955e-05,cpu,42,11717.338069516116,0.00022013767153258412,4.339248431078984e-05,"[np.float64(0.00017991893064654398), np.float64(0.00017991893064654398), np.float64(0.0002010879918718117), np.float64(0.0003386745126262092), np.float64(0.0002010879918718117)]",6.001975928596896e-05
binary,-1,gbdt,228,20,0.1497871585138723,0.816160934320784,0.8591943329862164,9,71,7.425477093298016e-05,2.3709532539189274e-06,cpu,42,17699.240950720123,0.0007027467686212845,0.00010583533154866559,"[np.float64(0.0006455914570258342), np.float64(0.0006985087895689354), np.float64(0.0007408504963698325), np.float64(0.0007408504963698325), np.float64(0.0006879326037719874)]",3.579926738600736e-05
