objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std,weight_factor
binary,-1,gbdt,87,15,0.013412775563170864,0.8833956113889758,0.9776219190951867,4,84,0.010782619215784175,6.06803575041836e-05,cpu,42,16368.439864847885,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,593.4834919915586
binary,-1,gbdt,136,17,0.11122775225006166,0.743971294016331,0.6711918658226811,1,92,6.185577440726994,7.830812752127926e-05,cpu,42,9312.033430854224,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,337.63377351277325
binary,-1,gbdt,130,10,0.21680697458087214,0.6058465942558199,0.9205870387817434,10,80,0.0006112546780579524,0.0004093594812433146,cpu,42,11528.320255958279,0.5001206445735195,0.14797897637445073,"[np.float64(0.4957401547302804), np.float64(0.5081439774783832), np.float64(0.5477848570158542), np.float64(0.4870880342061258), np.float64(0.4618461994369536)]",0.028249678912926776,417.9914407723378
binary,-1,gbdt,161,13,0.0249110536897309,0.773966293804659,0.9728787886331968,6,57,0.019696035433797058,0.03822100201857717,cpu,42,2966.4816878390934,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,107.55807673574631
binary,-1,gbdt,212,11,0.02554045601496496,0.6731778415232144,0.7463158694220362,4,19,0.0567586990354951,5.831533291112288e-06,cpu,42,9715.776247991269,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,352.2725966968684
binary,-1,gbdt,149,14,0.03427959246765202,0.7234226206584219,0.6169571896066535,8,33,1.378257118773182e-05,2.823488941799267,cpu,42,16737.825909616673,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,606.8766144609228
binary,-1,gbdt,133,12,0.04057364221623321,0.8887076922956267,0.9006962014603146,2,42,1.250362793151044e-05,0.38621491074075964,cpu,42,6563.543316201872,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,237.9795899487542
binary,-1,gbdt,204,10,0.01867360691839522,0.6926196886635387,0.983472215106696,9,96,0.00016900353813538517,5.616186200564011e-08,cpu,42,7876.798262844383,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,285.59531496860654
binary,-1,gbdt,133,14,0.01435681105564993,0.8701933642210373,0.8374277947610336,2,21,0.04792710212241284,0.10580498150559042,cpu,42,27107.485533454255,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,982.8575787515713
binary,-1,gbdt,88,11,0.07752838431531019,0.7633653124116355,0.7995162748272917,10,45,2.143426961628493e-05,3.461714743073771,cpu,42,12558.430297683222,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,455.3409566545084
binary,-1,gbdt,19,18,0.2008052821053059,0.6247878384065351,0.8847442547506619,7,71,7.51427215881184e-08,0.0018545342241894232,cpu,42,22909.545475358507,0.9282351859509141,0.9199075202970658,"[np.float64(0.9188036449458655), np.float64(0.9322975647443563), np.float64(0.9302224668204814), np.float64(0.9279575810172935), np.float64(0.9318946722265733)]",0.004957319371329191,830.649540268909
binary,-1,gbdt,33,20,0.2930173500870558,0.6034280744769248,0.8967300021097124,7,65,2.122707529251174e-08,0.00679107928215499,cpu,42,23178.458848733524,0.7256091640347322,0.5421801365185034,"[np.float64(0.7192418004593224), np.float64(0.7433932710319938), np.float64(0.7454120187117669), np.float64(0.7263086594839447), np.float64(0.6936900704866329)]",0.01880578985720644,840.3997454925952
binary,-1,gbdt,35,20,0.2830933931382145,0.9938892460395568,0.9008687351987565,10,69,3.4189036040447e-08,0.0031719090231011548,cpu,42,19590.544251222072,0.6949210770641912,0.5418012555652283,"[np.float64(0.7131033898843228), np.float64(0.722459174277943), np.float64(0.6912240966915734), np.float64(0.6800795885104671), np.float64(0.6677391359566497)]",0.02030634711799671,710.3098834238518
