iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.29189669002587365,10,7.567648844431054,0.7300904654862742,250,Recall,CPU,False,4636.931256031984,42,0.964983320524661,0.964977499354338,"[np.float64(0.9650110597225016), np.float64(0.9648734746578894), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",5.4923120640837194e-05,168.124890134741
500,0.10631064757195903,14,1.0700058312270153,0.8409712316027208,198,Recall,CPU,False,26654.647295661718,42,0.964907119453788,0.9648870100422254,"[np.float64(0.9647888069258205), np.float64(0.9647676399928032), np.float64(0.9649789386787461), np.float64(0.9649895222572656), np.float64(0.9650106894143048)]",0.00010595030356414066,966.4386640051771
500,0.02246200050210923,16,6.735501053960965,0.7358683571834713,116,Recall,CPU,False,15759.29086564651,42,0.9650044874576784,0.965005545763207,"[np.float64(0.9650110597225016), np.float64(0.9649793093229756), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.2589884272741234e-05,571.3970941323723
500,0.23139258479322938,13,9.354885608525645,0.8799862331034826,187,Recall,CPU,False,21724.523525943103,42,0.9649579202050405,0.9649658574487697,"[np.float64(0.964884058124398), np.float64(0.9648734746578894), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",6.471541660163299e-05,787.6832606214483
500,0.025511157085038077,14,3.5442801777231874,0.7954384737196023,108,Recall,CPU,False,14432.161941449018,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,523.2783293167222
500,0.07488546009538108,12,8.015030652278387,0.9316592890184078,141,Recall,CPU,False,7264.023662977938,42,0.9649981372433599,0.9649949622546945,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649789386787461), np.float64(0.9649895222572656), np.float64(0.9650001058357852)]",1.2495272378833508e-05,263.3774608337435
500,0.1527652180122041,15,6.609186964306226,0.6711285143867964,210,Recall,CPU,False,3204.3427723161903,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,116.18239451984556
500,0.010071969110642448,13,4.190285677135242,0.530723861710706,33,Recall,CPU,False,20424.32765178945,42,0.964945219350762,0.9649293444095084,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649789386787461), np.float64(0.964809601422433), np.float64(0.9649154372076286)]",7.627070304536742e-05,740.541028738807
500,0.03219330266310306,11,2.0451288765469235,0.9558669473634408,168,Recall,CPU,False,15114.602509960696,42,0.9649748537514542,0.9649706200465022,"[np.float64(0.9649475589234497), np.float64(0.9648946415909067), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",4.6971443519060584e-05,548.0221176692586
500,0.07458676753328855,15,8.865278741079713,0.8587669390296451,247,Recall,CPU,False,8275.363342983404,42,0.9650087208218796,0.965004487413756,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650001058357852)]",4.31067535122516e-06,300.04640484032905
500,0.05751263687911489,11,7.161224752433316,0.7910441405246579,85,Recall,CPU,False,12508.554752651282,42,0.9649515701251351,0.9649468070578399,"[np.float64(0.9648523077248722), np.float64(0.9648734746578894), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",7.271478139424637e-05,453.53257950464285
500,0.017346309342935684,12,9.704316315001247,0.9999097972888565,219,Recall,CPU,False,9714.069829585409,42,0.9648965349567785,0.9649108232451094,"[np.float64(0.9650004762559928), np.float64(0.9649898927894842), np.float64(0.9647566835298351), np.float64(0.9650106894143048), np.float64(0.9647249327942764)]",0.00012771565493430208,352.21072573282595
500,0.015802988243668874,12,9.95092191120092,0.8267023861074466,234,Recall,CPU,False,16560.73095799698,42,0.9648055161143038,0.9648012837912919,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9647460999513155), np.float64(0.9645555955379633), np.float64(0.9647037656372373)]",0.00017935444473320445,600.4555424974888
500,0.012636192046823166,11,8.497673568968185,0.934575190566606,226,Recall,CPU,False,17421.279784432598,42,0.9644647306657387,0.9644583762014983,"[np.float64(0.9633071216146136), np.float64(0.9639844634711654), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.0007021293554378077,631.6571430629189
500,0.014386803153276367,11,8.86510510089893,0.9360174941454831,234,Recall,CPU,False,14196.83787814664,42,0.9644477971193248,0.9644679013969633,"[np.float64(0.9632859546815964), np.float64(0.9639209626721136), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.0007180495236567691,514.7459983192966
500,0.012892655162654552,11,8.614603008667586,0.9359172044416203,237,Recall,CPU,False,13017.219923353583,42,0.964837268686842,0.9648610802986554,"[np.float64(0.9649898927894842), np.float64(0.9641643824018119), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.0003365395416381604,471.97565558614514
500,0.027665754455545453,10,7.8228068961257495,0.9181672073996358,206,Recall,CPU,False,14101.086990908956,42,0.9646065461598651,0.964653643369396,"[np.float64(0.964968725856467), np.float64(0.9644289690645274), np.float64(0.9650106894143048), np.float64(0.9636136570497217), np.float64(0.9650106894143048)]",0.000543175861517946,511.27428254257507
500,0.028301007395750487,10,5.71747380276954,0.885731173108376,187,Recall,CPU,False,13918.207709508923,42,0.9648563189265577,0.9648309171838834,"[np.float64(0.9646406383946998), np.float64(0.964608887995174), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.0001893308744445767,504.6434835516898
500,0.012697345922948898,10,9.128722888649104,0.9310099983798475,211,Recall,CPU,False,20380.439832476422,42,0.9638762871947921,0.9639032696181665,"[np.float64(0.9649475589234497), np.float64(0.9606930053869844), np.float64(0.9650106894143048), np.float64(0.9637194928349173), np.float64(0.9650106894143048)]",0.0016660868793132945,738.9497533040769
500,0.01238173002127743,11,8.860785617123025,0.7751895452537408,162,Recall,CPU,False,23033.67547393236,42,0.9649790871380576,0.9649785577093896,"[np.float64(0.964968725856467), np.float64(0.9648946415909067), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",4.5242719153105276e-05,835.1502199685501
