n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,154,10,0.07818826768085109,0.9708317533394086,0.9465268769671564,3,32,7.226811826299855e-05,2.530288493438748e-06,cpu,42,27.580278281911674,0.3649651158860292,0.38132361870800263,"[np.float64(0.359324073774078), np.float64(0.36423070370690125), np.float64(0.3713405701771085)]",0.0049331239181442145
300,binary,-1,gbdt,96,17,0.030688501428436876,0.6525009460832843,0.9802238149545179,1,65,3.548066991375513e-08,0.0049208112880928245,cpu,42,27.580278281911674,0.4357502758764789,0.45634227221059714,"[np.float64(0.4383975511159039), np.float64(0.45526146688814356), np.float64(0.41359180962538944)]",0.017114246185440628
300,binary,-1,gbdt,27,12,0.08276828313328968,0.6463822363322019,0.9258597769911485,10,28,0.7096431094470825,9.189796986983384e-08,cpu,42,27.580278281911674,0.2678817250144218,0.27063899341531666,"[np.float64(0.2663728015154085), np.float64(0.27155016407336197), np.float64(0.265722209454495)]",0.0026075405211679467
300,binary,-1,gbdt,155,19,0.032907341441621954,0.7609248950700332,0.8076367525464778,1,14,5.193893017599048e-05,0.0002966039412659312,cpu,42,27.580278281911674,0.4632378101913263,0.492379897078885,"[np.float64(0.4831061102484644), np.float64(0.4505070852767319), np.float64(0.45610023504878267)]",0.014233360846113206
300,binary,-1,gbdt,41,14,0.1367067755506105,0.6537339580583184,0.8883440350413879,5,84,3.089832298291744e-07,0.0006683058098640906,cpu,42,27.580278281911674,0.27881308276688577,0.2831172943067046,"[np.float64(0.2721002368091702), np.float64(0.29086199033368887), np.float64(0.2734770211577982)]",0.008538384466657242
300,binary,-1,gbdt,189,10,0.057590371403906826,0.9065778326298791,0.8526011384950816,10,76,1.5263205592170923,6.799873191430393e-05,cpu,42,27.580278281911674,0.3806834267058654,0.3979033207163316,"[np.float64(0.36037321384312476), np.float64(0.41366529174015926), np.float64(0.3680117745343122)]",0.023529265014920173
300,binary,-1,gbdt,64,19,0.10303969720318909,0.7455552071519064,0.6248894163261699,5,78,3.2199932791186146e-06,2.991742251694528,cpu,42,27.580278281911674,0.26767439806660787,0.2736879716409935,"[np.float64(0.2605569068765917), np.float64(0.26581205910211314), np.float64(0.2766542282211188)]",0.006702346277299626
300,binary,-1,gbdt,242,10,0.20819177182316687,0.8893499011666283,0.638849449910523,1,69,0.0005904029258078435,0.07869312027117527,cpu,42,27.580278281911674,0.8387083565616397,1.0,"[np.float64(0.830634934561618), np.float64(0.8400909458281872), np.float64(0.8453991892951139)]",0.006106251947464379
300,binary,-1,gbdt,224,16,0.01283985144065461,0.639739526882097,0.7807016258006523,9,48,1.933078810938518e-06,0.0011603769122264759,cpu,42,27.580278281911674,0.575080300078111,0.6383669669385289,"[np.float64(0.574607047227718), np.float64(0.5831231715854627), np.float64(0.5675106814211518)]",0.006382551134563652
300,binary,-1,gbdt,69,18,0.06698831833277061,0.792655701974359,0.7802151178234071,5,91,5.1522823835165523e-08,2.277751499035544,cpu,42,27.580278281911674,0.29631926685007093,0.30438515924417353,"[np.float64(0.2967532826649564), np.float64(0.28197979336974327), np.float64(0.3102247245155132)]",0.011535028136159848
300,binary,-1,gbdt,230,14,0.24447177243193124,0.8759628676321364,0.6181384852957487,8,52,0.01450427035434689,0.054440348619551285,cpu,42,27.580278281911674,0.818405404209179,0.9999909408357581,"[np.float64(0.8173067799994582), np.float64(0.815325379057839), np.float64(0.8225840535702399)]",0.0030634751818681546
