iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,trial_number,training_score
500,0.014230125209219235,11,1.4758493169576312,0.9695228972013581,83,PRAUC,CPU,False,27.580278281911674,42,0.6955374624127924,0,0.780124226315422
500,0.019534257424006753,16,2.6553790377229065,0.5917776331358261,111,PRAUC,CPU,False,27.580278281911674,42,0.8393453657409118,1,0.9960917022664144
500,0.01036349765431499,14,1.1725681857111092,0.8676423091911368,202,PRAUC,CPU,False,27.580278281911674,42,0.7825374712668859,2,0.9309255602017807
500,0.03795133874161917,11,9.40080256573737,0.9316125834704259,120,PRAUC,CPU,False,27.580278281911674,42,0.7896472934166899,3,0.902404809051629
500,0.011250918459435003,14,2.825755674037611,0.9432874260053129,34,PRAUC,CPU,False,27.580278281911674,42,0.7781075043854985,4,0.9246343951886529
500,0.035874643323356374,13,7.338669674085676,0.739811345224596,92,PRAUC,CPU,False,27.580278281911674,42,0.8328781245188568,5,0.9752001394572155
500,0.16194961597293298,13,2.8968065250951014,0.8285746681324029,184,PRAUC,CPU,False,27.580278281911674,42,0.8746590951186605,6,0.9999831809200541
500,0.011859994873427161,12,6.714893192628771,0.9869971880538122,59,PRAUC,CPU,False,27.580278281911674,42,0.6961122041928718,7,0.7871119347683762
500,0.04309102497311933,11,6.679213032591993,0.6362388896543787,178,PRAUC,CPU,False,27.580278281911674,42,0.8046446854599918,8,0.9270195694012453
500,0.038863961057293464,12,8.980523654868186,0.8816629902047657,86,PRAUC,CPU,False,27.580278281911674,42,0.8165325073708959,9,0.9491522758571918
500,0.24620784175358937,16,3.9765568649715863,0.7603662627201848,251,PRAUC,CPU,False,27.580278281911674,42,0.8508801568217581,10,0.999995848557171
500,0.2582123785018329,16,4.324314296353128,0.7646081814341406,249,PRAUC,CPU,False,27.580278281911674,42,0.8516887704853909,11,0.9999993116738302
500,0.25054579456943815,15,4.006733827256435,0.7772975071994537,252,PRAUC,CPU,False,27.580278281911674,42,0.864113734816782,12,0.9999956010731592
500,0.1284104833668178,14,5.062269306277568,0.8213079222317675,199,PRAUC,CPU,False,27.580278281911674,42,0.8748435190902081,13,0.9999644861667101
500,0.11800488269154354,14,5.547687337583776,0.8573805929907278,178,PRAUC,CPU,False,27.580278281911674,42,0.8784663133711348,14,0.9999836295277531
500,0.09921186449567493,14,5.49375339047019,0.8313629874012465,153,PRAUC,CPU,False,27.580278281911674,42,0.8786043101056163,15,0.9999577071382555
500,0.08830539674308219,15,5.904551271502685,0.5287640235491448,150,PRAUC,CPU,False,27.580278281911674,42,0.8744158737803607,16,0.999985168652711
500,0.07893741417035706,15,8.145137606304022,0.6754368178566797,151,PRAUC,CPU,False,27.580278281911674,42,0.8764009472868488,17,0.9998962196828534
500,0.07792446741186876,10,5.5633861428054905,0.6983459053666132,222,PRAUC,CPU,False,27.580278281911674,42,0.832864646536469,18,0.9508832155251205
500,0.13651680315876283,14,4.995868162984215,0.8810627730648873,168,PRAUC,CPU,False,27.580278281911674,42,0.8748393926751361,19,0.9999845945144934
500,0.06297567058046685,13,7.970998343521773,0.8232663893856462,133,PRAUC,CPU,False,27.580278281911674,42,0.8681388578569131,20,0.9965369355562079
500,0.103885215452665,15,8.431731872796952,0.6664984594073081,154,PRAUC,CPU,False,27.580278281911674,42,0.8762510326505621,21,0.9999796251065151
500,0.060014336490330465,15,6.162561307293601,0.7085189992898613,136,PRAUC,CPU,False,27.580278281911674,42,0.8706932685431013,22,0.9998274784050301
500,0.18124611308006533,14,7.50585511364711,0.6186600339505691,161,PRAUC,CPU,False,27.580278281911674,42,0.874145379486104,23,0.9999764237685604
500,0.10183089529016316,15,6.640361598332774,0.5641167601133383,216,PRAUC,CPU,False,27.580278281911674,42,0.8770711190237861,24,0.9999690334732213
500,0.10980511074127446,14,6.614364339643407,0.5618243587429854,222,PRAUC,CPU,False,27.580278281911674,42,0.8809220621055495,25,0.9999679285270278
500,0.19191296906241237,12,4.895629762075268,0.9185670060792164,235,PRAUC,CPU,False,27.580278281911674,42,0.8746343920536557,26,0.9997251978528816
500,0.11918853703040037,13,9.974597514791792,0.5036009034378348,192,PRAUC,CPU,False,27.580278281911674,42,0.877373779183252,27,0.9993976855167273
500,0.05239536150603581,14,6.259587852084707,0.7922890663267982,214,PRAUC,CPU,False,27.580278281911674,42,0.8653729825818244,28,0.9983655231705227
500,0.02517801829799779,13,3.4425161262010673,0.8475681370753111,170,PRAUC,CPU,False,27.580278281911674,42,0.8122434448711219,29,0.9593696264433148
