iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.04209353762829705,11,8.911687219854398,0.5837533552735069,117,Recall,CPU,False,14031.918226238575,42,0.9649875536648403,0.9650388838731269,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9649895222572656), np.float64(0.9649154372076286)]",3.699997609116406e-05,508.7663758433252
500,0.010868528177709034,13,5.896979371986794,0.5092770798134076,235,Recall,CPU,False,16403.059454168786,42,0.9649388692036505,0.964942573816851,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.964661431323159), np.float64(0.9650001058357852)]",0.00013878241050597134,594.738721868757
500,0.03302171798427788,14,3.0295688382234327,0.7198113880341289,202,Recall,CPU,False,3878.1227449250237,42,0.9644287408758225,0.9644954199654405,"[np.float64(0.9649369754569411), np.float64(0.9650110597225016), np.float64(0.9650001058357852), np.float64(0.9621848739495799), np.float64(0.9650106894143048)]",0.0011222707721617758,140.6121687854202
500,0.09464402239613023,10,6.273313166338866,0.9769070644633533,137,Recall,CPU,False,20598.758416126046,42,0.9649134686152034,0.964953157340765,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9645661791164829), np.float64(0.9649895222572656), np.float64(0.9649895222572656)]",0.00017391167718745095,746.8655031532293
500,0.10590656046409491,13,8.163749499636207,0.8385241978507297,165,Recall,CPU,False,13526.30597288656,42,0.9649600363606895,0.9649632116871532,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9648731028935503), np.float64(0.9650106894143048), np.float64(0.9648942700505895)]",6.269790107295937e-05,490.4339918048502
500,0.23334424802154313,13,9.550171665509128,0.5347281530865478,110,Recall,CPU,False,16419.2969229075,42,0.9650066041061758,0.9650087208339626,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9649895222572656), np.float64(0.9650106894143048)]",8.54252984650176e-06,595.327456636867
500,0.03301084193595067,15,4.293533539840874,0.5540120640330889,186,Recall,CPU,False,12075.451090166553,42,0.964862667617527,0.9648811893582682,"[np.float64(0.9649263919904325), np.float64(0.9650110597225016), np.float64(0.9646720149016785), np.float64(0.964904853629109), np.float64(0.9647990178439134)]",0.00011684213609450962,437.82919688979894
500,0.07008663766248782,10,2.3546703329630567,0.8262423092702555,32,Recall,CPU,False,17783.09250590996,42,0.965000253959064,0.9650960348947013,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650001058357852), np.float64(0.9649683551002265), np.float64(0.9650106894143048)]",1.6492343124374702e-05,644.7756735497798
500,0.06196211445507861,14,7.5250912239238685,0.8527502630341062,208,Recall,CPU,False,8826.992308568584,42,0.9649367524879466,0.9649065898417042,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649895222572656), np.float64(0.9648731028935503), np.float64(0.9647990178439134)]",8.584856644365616e-05,320.0472532707439
500,0.06110404258356923,14,3.162910684613693,0.9049593183511545,56,Recall,CPU,False,12143.794529064087,42,0.9650044873904717,0.9650076624817112,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9649789386787461)]",1.2775429282129154e-05,440.3071790986426
