n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,246,18,0.037455756655155284,0.8323327708648337,0.8771526429476002,3,46,6.154605062835948e-06,4.096317374326192e-07,cpu,42,27.580278281911674,0.5401260994073193,0.5898454082111001,"[np.float64(0.5135886573426387), np.float64(0.5608234094755771), np.float64(0.5459662314037419)]",0.019720730354405597
300,binary,-1,gbdt,78,13,0.020263292882262685,0.982181459368006,0.9105748022948638,6,85,5.463406255381166,7.980639271791514,cpu,42,27.580278281911674,0.43318295416228003,0.44831488954607385,"[np.float64(0.4325945930691266), np.float64(0.41453958707995936), np.float64(0.4524146823377541)]",0.015468038806491903
300,binary,-1,gbdt,57,17,0.023549168059057202,0.7761192718850465,0.7075683450130401,1,11,1.8968988329846318e-06,5.023060165537641,cpu,42,27.580278281911674,0.40550866252142354,0.4156696335057725,"[np.float64(0.38212768804614716), np.float64(0.3941115004538471), np.float64(0.4402867990642765)]",0.02507378479608701
300,binary,-1,gbdt,216,17,0.07431447164737702,0.811469950748955,0.9568526124857007,7,51,0.050802842208787335,0.011836292662933024,cpu,42,27.580278281911674,0.41684940550139676,0.43940672359778105,"[np.float64(0.39447282534992734), np.float64(0.41906716634091573), np.float64(0.43700822481334745)]",0.017435670319475485
300,binary,-1,gbdt,123,11,0.05362269557008631,0.6482031077832903,0.6451886034318637,6,65,3.154382406910112e-05,0.0031211905308831047,cpu,42,27.580278281911674,0.4017450341273614,0.4215748149511713,"[np.float64(0.41047118159936447), np.float64(0.3995349154813687), np.float64(0.3952290053013509)]",0.006415837326333165
300,binary,-1,gbdt,208,16,0.23338864593619812,0.8969379269190665,0.8214488268270781,10,57,6.827089670587338e-08,0.0005171290666284581,cpu,42,27.580278281911674,0.8457147064372567,0.9999995454867872,"[np.float64(0.8384325284638465), np.float64(0.8490888314183342), np.float64(0.8496227594295891)]",0.005153888939924556
300,binary,-1,gbdt,20,19,0.012872796710223537,0.6855719041925155,0.670336765820761,6,32,0.1580083458051441,1.9919214188806252e-07,cpu,42,27.580278281911674,0.3910727747781067,0.3969481202561662,"[np.float64(0.39162594695617264), np.float64(0.39163287383989576), np.float64(0.3899595035382518)]",0.0007872067223398671
300,binary,-1,gbdt,24,13,0.03944851812986694,0.768833184147235,0.6672401647587348,10,26,0.002249018720171106,1.2923471616073128,cpu,42,27.580278281911674,0.31623134559938676,0.32059033009711274,"[np.float64(0.3088494894887528), np.float64(0.32664503854251564), np.float64(0.31319950876689173)]",0.007574713084351772
300,binary,-1,gbdt,136,14,0.27302467675077957,0.625530878001643,0.766710865594864,6,57,0.07520376467823589,1.5107829420789832e-08,cpu,42,27.580278281911674,0.8368733961818617,0.9999998086172955,"[np.float64(0.8320488460470854), np.float64(0.8355197637799892), np.float64(0.8430515787185108)]",0.004592695074373537
300,binary,-1,gbdt,149,14,0.22261721836093457,0.8530804473493341,0.6412953091307695,8,45,0.00876261901507039,3.4928710568181576e-08,cpu,42,27.580278281911674,0.8334722738925316,0.99999742987331,"[np.float64(0.8276976343258768), np.float64(0.8334839254687911), np.float64(0.8392352618829266)]",0.004710223931741156
300,binary,-1,gbdt,183,20,0.13163028914286676,0.9504382578317125,0.8130364414828649,10,100,3.137731705593768e-08,2.072987749372314e-05,cpu,42,27.580278281911674,0.869449332681704,0.9999999972554184,"[np.float64(0.8662848406536955), np.float64(0.8674291570091449), np.float64(0.8746340003822717)]",0.003695758772279325
300,binary,-1,gbdt,191,20,0.11773128994939988,0.9578136377511892,0.8325406283726512,10,99,1.2845478329606293e-08,2.6330847353816457e-05,cpu,42,27.580278281911674,0.8716216019587222,0.9999999917667534,"[np.float64(0.8684159071702215), np.float64(0.8731674872179881), np.float64(0.873281411487957)]",0.0022672456112483364
300,binary,-1,gbdt,179,20,0.11717741746796789,0.9961841943847206,0.7969101133050145,9,100,1.1252575752833545e-08,9.970420055016482e-06,cpu,42,27.580278281911674,0.870249401721221,0.9999999065609676,"[np.float64(0.866689309937474), np.float64(0.8689483085328868), np.float64(0.8751105866933021)]",0.0035589425548524923
300,binary,-1,gbdt,179,20,0.12313417156121217,0.9992828880567367,0.7509121051078942,8,100,1.7634081172160492e-08,2.6994879528144647e-05,cpu,42,27.580278281911674,0.8672125428791472,0.9999999069628052,"[np.float64(0.8641357305039234), np.float64(0.8660270116866609), np.float64(0.8714748864468571)]",0.0031112607996269604
300,binary,-1,gbdt,245,19,0.10916796961756275,0.9122882558081724,0.8530177641290829,9,81,5.328971035494355e-07,6.59102118812644e-06,cpu,42,27.580278281911674,0.8730995032926802,1.0,"[np.float64(0.8679272020458207), np.float64(0.8741838831015047), np.float64(0.8771874247307149)]",0.003857446540635989
300,binary,-1,gbdt,254,18,0.07269824278582396,0.9125397990583033,0.994599290151593,3,80,5.741902257996101e-07,2.301861817643045e-06,cpu,42,27.580278281911674,0.4243564425327441,0.4488169052711786,"[np.float64(0.4081068095667283), np.float64(0.43306747344186336), np.float64(0.4318950445896406)]",0.011500190607146523
300,binary,-1,gbdt,213,18,0.17207457677011506,0.9041687236278041,0.8772028435818886,8,80,5.0541984809997077e-05,0.0002750253744156642,cpu,42,27.580278281911674,0.8657782729238425,0.9999998072753349,"[np.float64(0.8602756717742104), np.float64(0.8667935186620532), np.float64(0.8702656283352639)]",0.004141082866002585
