n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.23136069865144154,11,0.89992494375789,0.7646773097509041,0.001320815876653651,3.4602207635008035,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,14283.303772188843,-1,42,0.5743640747798258,0.17849443538393533,"[np.float64(0.56907299416851), np.float64(0.6110787727412237), np.float64(0.569301272146138), np.float64(0.5689308468979531), np.float64(0.5534364879453041)]",0.01933432391821652,517.8810607417419
500,0.013008282762725138,15,0.7072267911405838,0.5561355922577155,0.0155634574974418,0.8735687781274953,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,17745.926919002595,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,643.4281314210355
500,0.01367495659159159,14,0.5201412441173097,0.9551438509872753,0.014757102633861397,2.158216671619306,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,25497.460096014856,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,924.4816109320108
500,0.01761493001303079,11,0.7743384540361944,0.8299646544038659,0.04393385398355665,1.1663300368375946,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,4667.497179653796,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,169.23314304319183
500,0.013172090678940103,14,0.7681977265838782,0.7713919428887587,0.5867669580824642,3.787775782055218,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,11149.282554643029,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,404.2483705450936
500,0.28927670513668724,12,0.6284247102328988,0.7183009087709369,0.01772475362947368,2.300262495796719,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,21038.58267101559,-1,42,0.8233333609276039,0.5326845391584035,"[np.float64(0.8021738440208706), np.float64(0.8181231280493613), np.float64(0.9299261266219334), np.float64(0.7866773913595665), np.float64(0.7797663145862879)]",0.054915638961260116,762.8125596112492
500,0.29403637093675733,9,0.6462864865314427,0.717360696456447,0.011295392056457075,1.7930117980332039,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,16782.95580980445,-1,42,0.8614718373175488,0.6771865826231984,"[np.float64(0.9169938721728915), np.float64(0.9429021981859939), np.float64(0.9351544144106005), np.float64(0.7560379315454141), np.float64(0.7562707702728446)]",0.08640173052251711,608.5129250059609
500,0.015488198764054167,13,0.8833624840162296,0.816117124534134,0.0010200955992259707,3.907276704777509,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,10884.833767123639,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,394.6600413478198
500,0.04455669240934466,12,0.6227038504309776,0.5897193547366051,0.20768177496340903,1.68566617821903,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,25241.889200781818,-1,42,0.5496784435718257,0.34364226619239474,"[np.float64(0.9291966090573306), np.float64(0.48370675330997914), np.float64(0.45458586457252925), np.float64(0.45728467709501935), np.float64(0.4236183138242703)]",0.19071269744092378,915.2151745088274
500,0.08690427667110598,12,0.5173521124276255,0.7111191557064137,0.38976596885501424,3.081810349194502,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,11657.076608518917,-1,42,0.5324912819901554,0.21270364861986363,"[np.float64(0.5528379565442865), np.float64(0.590811434377216), np.float64(0.5097898101306013), np.float64(0.5193361979552527), np.float64(0.4896810109434202)]",0.035598763201864475,422.6598618536828
500,0.10253214022808964,8,0.5117057232389486,0.9817292460777158,0.7646650789300895,4.877560394331029,hist,binary:logistic,<function eval_function at 0x0000019D8A587420>,3240.8511881972545,-1,42,0.571438702841293,0.33533772733608136,"[np.float64(0.65521182808217), np.float64(0.5584048599278207), np.float64(0.5733018648265351), np.float64(0.5643481573989797), np.float64(0.5059268039709587)]",0.04802785374044194,117.50610907804884
