n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std
300,0.07176724745521722,14,0.691345645851472,0.6651480001823453,0.06023782199441705,1.7370321473816035,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8630463200053381,0.9999995792692208,"[np.float64(0.8583570148230854), np.float64(0.8632554592385502), np.float64(0.8675264859543786)]",0.0037463408477301065
300,0.1457272701871864,12,0.9341473866854714,0.5789044790956329,0.0433759404138579,2.7320366584200495,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8599377017077033,0.9999898308660798,"[np.float64(0.8544147615823976), np.float64(0.860310893312681), np.float64(0.8650874502280315)]",0.004365090660546074
300,0.1796242010672382,11,0.8416375127681059,0.9936583740935362,0.0439235111639909,0.22590913518882538,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8735479778170822,1.0,"[np.float64(0.8719147061703205), np.float64(0.8720327667775181), np.float64(0.876696460503408)]",0.0022268351228163794
300,0.01276595848434439,9,0.904644766956171,0.5748246707914506,0.04295603208570904,4.537390386191357,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.7046446179521731,0.8168013203485559,"[np.float64(0.6964101947953208), np.float64(0.7097620561011333), np.float64(0.7077616029600656)]",0.005879611480190523
300,0.056925172285526446,10,0.9136626767293097,0.6585580200710912,0.02466271104031565,3.8767461154070966,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8347534575654629,0.9933775236081145,"[np.float64(0.8281084606055428), np.float64(0.8347892998231743), np.float64(0.8413626122676716)]",0.00541104411189169
300,0.07355445674243596,10,0.8131775866697647,0.731075813824623,0.7532944271655405,2.177451982069919,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8450585830484095,0.9991917806931337,"[np.float64(0.8377591616844077), np.float64(0.8456072555944122), np.float64(0.8518093318664088)]",0.0057490637909055195
300,0.0917856951798278,9,0.7794696683820466,0.874787652629031,0.004383643959570209,2.2481614855640193,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.846389569147569,0.9987363529112864,"[np.float64(0.8395096510190964), np.float64(0.8474243129795024), np.float64(0.8522347434441084)]",0.005246269493939985
300,0.07830737968200369,11,0.6337831578525718,0.7310998542307083,0.004014644808820306,2.2438339149022966,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8531318977107379,0.9999421584655378,"[np.float64(0.8457550866421355), np.float64(0.8548056467981828), np.float64(0.8588349596918954)]",0.00546942085631564
300,0.10616946306120874,15,0.9466084794998542,0.5118832490941972,0.06336523824748584,1.045613287821428,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8708937382593988,1.0,"[np.float64(0.8683129774273367), np.float64(0.8698979044258763), np.float64(0.8744703329249833)]",0.0026104942634286444
300,0.09495650854134335,10,0.8497313272289686,0.6863750550344914,0.009493919354603819,1.1441130262824935,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8591949264756268,0.9999417813439062,"[np.float64(0.8541941968411388), np.float64(0.8616800237211286), np.float64(0.861710558864613)]",0.003536071808912787
300,0.28970797573801305,13,0.5156564868119247,0.9679614347588797,0.36079984442605506,0.010357484002749134,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8519168964603164,1.0,"[np.float64(0.8444155532438357), np.float64(0.8524617379670857), np.float64(0.8588733981700282)]",0.005914950502925138
300,0.24441741735611605,15,0.9913182314112717,0.8467031513603405,0.23542507654029604,0.055564862334883836,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8738009881903449,1.0,"[np.float64(0.8723508462728319), np.float64(0.8707428207972816), np.float64(0.8783092975009215)]",0.003254747928015071
300,0.28006579243741686,12,0.9851293575811143,0.8568646342339389,0.19673348744765778,0.07925139403889206,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.871847511862399,1.0,"[np.float64(0.8705332159133371), np.float64(0.8689190176390906), np.float64(0.8760903020347691)]",0.0030716293561361147
300,0.025101523566204032,15,0.9976985150108947,0.9989644477721686,0.16694287297539492,0.7546985323650737,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8141899558341121,0.9987702594901796,"[np.float64(0.8068363765467252), np.float64(0.8197588544821027), np.float64(0.8159746364735085)]",0.00542441534398296
300,0.1796698982777007,13,0.7124076382963198,0.9040103022953013,0.013385185024786481,0.6350172234258649,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8617395590827543,1.0,"[np.float64(0.8585018931601898), np.float64(0.8590553420255562), np.float64(0.8676614420625173)]",0.004193494956965894
300,0.18428441198783826,8,0.8716529581102206,0.8143670322868507,0.0011209711142003682,3.2559318929208447,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8551914767155177,0.9998012558491459,"[np.float64(0.8480517059420583), np.float64(0.853539492031417), np.float64(0.8639832321730774)]",0.0066080845464622446
300,0.022406612963212398,13,0.6075648469571158,0.9364559481105815,0.1441438647935328,1.5696903612773851,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8039807377115288,0.9892045114925301,"[np.float64(0.7966412236163588), np.float64(0.8060238989929596), np.float64(0.809277090525268)]",0.00535706164181882
300,0.03819240191913196,11,0.819880417120074,0.8066459009126614,0.7167658761413015,0.44062616770514174,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8201015693575239,0.9932656393889784,"[np.float64(0.8142693123556738), np.float64(0.8216670372029916), np.float64(0.8243683585139061)]",0.004268934332900259
