iterations,bootstrap_type,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,loss_function,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,Bernoulli,0.2860429973310247,6,9.775721614705137,0.8397188154264389,72,PRAUC,CPU,Logloss,42,3.0,0.9212252621609099,0.969902314815538,"[np.float64(0.9204167675647484), np.float64(0.922285814107885), np.float64(0.9209732048100965)]",0.0007835744704778804
300,Bernoulli,0.024897120250139276,5,1.9816588919583178,0.9675433936565476,95,PRAUC,CPU,Logloss,42,3.0,0.8247706162486352,0.8348803216816648,"[np.float64(0.8196852773467185), np.float64(0.8303703969401584), np.float64(0.8242561744590291)]",0.004377322846040191
300,Bernoulli,0.04159845121979802,6,1.8948022976618615,0.7100551064410163,85,PRAUC,CPU,Logloss,42,3.0,0.8574541559949392,0.8736682171796711,"[np.float64(0.8552576024311792), np.float64(0.8605370342680421), np.float64(0.8565678312855964)]",0.00224459034834332
300,Bernoulli,0.012572242546478072,9,1.8103122203473636,0.7919929467781087,120,PRAUC,CPU,Logloss,42,3.0,0.84901512538521,0.8720282512974183,"[np.float64(0.8463881035688303), np.float64(0.8530469075683992), np.float64(0.8476103650184004)]",0.002894239271643797
300,Bernoulli,0.023250139297208,7,5.274146525682459,0.6605753360648615,59,PRAUC,CPU,Logloss,42,3.0,0.8436624093491489,0.8590335412604245,"[np.float64(0.8402844698984677), np.float64(0.8488745820471305), np.float64(0.8418281761018486)]",0.0037390565107414944
300,Bernoulli,0.051346940886330704,10,1.0941941557563197,0.9200310686272613,103,PRAUC,CPU,Logloss,42,3.0,0.9274341424947198,0.978341588012133,"[np.float64(0.9269278517130528), np.float64(0.9289993062714901), np.float64(0.9263752694996163)]",0.001129495466048761
300,Bernoulli,0.06802125194061631,8,1.1148921179161468,0.9187988618009969,42,PRAUC,CPU,Logloss,42,3.0,0.9158405369596511,0.9553924894093603,"[np.float64(0.9146110954731597), np.float64(0.9174891027444511), np.float64(0.9154214126613422)]",0.0012117426422240353
300,Bernoulli,0.018337117198085517,6,1.179232025968656,0.8342447098912646,40,PRAUC,CPU,Logloss,42,3.0,0.8247251409990106,0.8356928708860102,"[np.float64(0.822436138009792), np.float64(0.8278003019225684), np.float64(0.8239389830646717)]",0.0022593652270901524
300,Bernoulli,0.06821306009994349,9,5.901788489234022,0.6949051008637761,40,PRAUC,CPU,Logloss,42,3.0,0.9202691772772225,0.9646230830830508,"[np.float64(0.9192736175337863), np.float64(0.9210763111123652), np.float64(0.9204576031855158)]",0.0007479101001009477
300,Bernoulli,0.06113456286883911,6,7.9881016894510495,0.9340363491570528,106,PRAUC,CPU,Logloss,42,3.0,0.8799658940027513,0.90129675058744,"[np.float64(0.8789391713597896), np.float64(0.8837248910483049), np.float64(0.8772336196001591)]",0.0027476985269561656
300,Bernoulli,0.16941242192662748,10,3.949057617800829,0.6022960975808498,128,PRAUC,CPU,Logloss,42,3.0,0.9395889037415719,0.9985178571831752,"[np.float64(0.9392152963981069), np.float64(0.9392488128401169), np.float64(0.9403026019864917)]",0.0005048463307929018
300,Bernoulli,0.1695931555242062,10,3.7556883365880402,0.6077458138385241,125,PRAUC,CPU,Logloss,42,3.0,0.9411892863253991,0.9987487395166171,"[np.float64(0.941079024564063), np.float64(0.9420306623229595), np.float64(0.9404581720891749)]",0.0006466836557115521
300,Bernoulli,0.18639100787412116,10,4.014779974360116,0.6059803637928816,127,PRAUC,CPU,Logloss,42,3.0,0.9416143493535832,0.9990888101058317,"[np.float64(0.9416404266081317), np.float64(0.941514490458144), np.float64(0.9416881309944742)]",7.324741801071838e-05
300,Bernoulli,0.14100331376556866,9,3.9672249550216776,0.6008046026485204,116,PRAUC,CPU,Logloss,42,3.0,0.9334653216105581,0.990380425162812,"[np.float64(0.9319438026324233), np.float64(0.9348480292830749), np.float64(0.933604132916176)]",0.0011897015153710553
300,Bernoulli,0.12802800440104917,10,3.5859733817261934,0.7499602807492967,126,PRAUC,CPU,Logloss,42,3.0,0.9410841679250326,0.9967171574566205,"[np.float64(0.9404510720735026), np.float64(0.9428375542751395), np.float64(0.9399638774264556)]",0.0012556837249306989
300,Bernoulli,0.27748697761566193,8,5.900190804469441,0.6495162466837093,110,PRAUC,CPU,Logloss,42,3.0,0.9340970857090315,0.9933327628167238,"[np.float64(0.9335355450820307), np.float64(0.9350368032447856), np.float64(0.9337189088002784)]",0.0006686839555151394
300,Bernoulli,0.11570906021802582,9,3.0742472657221405,0.6442417850962281,92,PRAUC,CPU,Logloss,42,3.0,0.9332865432952276,0.9868130006814787,"[np.float64(0.9326942419094026), np.float64(0.9347238597079159), np.float64(0.9324415282683644)]",0.0010215592326533879
300,Bernoulli,0.19203113190483098,10,4.926789798653422,0.7415830609565688,72,PRAUC,CPU,Logloss,42,3.0,0.942861342317062,0.9987862638259773,"[np.float64(0.9437955851233106), np.float64(0.9406350451610188), np.float64(0.9441533966668565)]",0.0015809926302649414
300,Bernoulli,0.10118881847520148,8,7.45650875833079,0.7279566333530724,72,PRAUC,CPU,Logloss,42,3.0,0.9202438739860547,0.9636502838989937,"[np.float64(0.9213287180288292), np.float64(0.9208686008761611), np.float64(0.9185343030531739)]",0.0012233564564912403
300,Bernoulli,0.22218824432567716,10,5.460147714867471,0.7724920764663874,57,PRAUC,CPU,Logloss,42,3.0,0.9435804168180301,0.9993340890982308,"[np.float64(0.9435297327055037), np.float64(0.9436231586766775), np.float64(0.9435883590719087)]",3.855223789395153e-05
