n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,trial_number,training_score
500,0.06110719306933585,13,0.8616744984449747,0.9141509016098941,0.23929064102444467,3.957635685422402,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8927853150889906,0,0.9999682147857685
500,0.16446347451482302,11,0.6399298538068408,0.6018970182256262,0.0018219225709482023,1.5121192217487796,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8921360717440427,1,1.0
500,0.04952348645126624,15,0.6444892748919577,0.551341594851111,0.005731123829061293,0.8563688752723247,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8901561139454686,2,1.0
500,0.010998010058272629,8,0.9407853211616543,0.6573753120045323,0.02893339624593843,2.023623827349494,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.7286288590469606,3,0.801084571736169
500,0.14806723217746834,13,0.750188717135218,0.8085372884406103,0.0748270092456006,1.1925141518410927,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8936366882554703,4,1.0
500,0.02454121096646569,9,0.6419002390052684,0.7100025306152564,0.043675961611279186,3.9671770898817997,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8287439774501588,5,0.9518610871025055
500,0.18963322409717992,13,0.685278252939155,0.7864897220160696,0.006468272419591969,3.1736476663697606,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8811695344242281,6,0.9999983628693698
500,0.14364516023000828,9,0.7109712974350504,0.5859875062880251,0.0012381156021583327,2.183536682738549,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8923568624685354,7,0.9999989667690643
500,0.02826378205298203,14,0.5971087472879144,0.5342618260056782,0.007098713946550344,2.7692330958826483,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8816334126763649,8,0.9999632180440341
500,0.23533751288704768,8,0.7102931750361685,0.6977981974074692,0.46359331319537067,3.6445965359494457,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8806718730418848,9,0.9999362594926893
500,0.09349217424662343,11,0.8172004246337565,0.9893273928454989,0.09080941997720503,0.401192474567301,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9041625539864535,10,1.0
500,0.0867916965623306,11,0.8075255994928602,0.9368626731119822,0.10079252952902325,0.02738628233064011,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9052123522433481,11,1.0
500,0.08029191246467686,11,0.8133028716703081,0.9954984681667577,0.12339324464754875,0.06788805116692806,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9051109877583945,12,1.0
500,0.0785321502432538,10,0.9986836465649558,0.9985203744864672,0.21073154348197007,0.25039945528148094,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8985714862474121,13,0.9999777924496134
500,0.03632266735190206,12,0.5012131593472358,0.8797594826469605,0.725302077920296,4.952505742825002,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8735161634486677,14,0.9994798679660974
500,0.1011496984684807,10,0.8297890576871433,0.9133188075334976,0.015365938071710406,0.09666178783979353,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9047892580891594,15,1.0
500,0.04833645593681307,12,0.8834072093156511,0.8461445824226188,0.153350914764809,1.005217246359555,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9018168931168843,16,0.9999999890226696
500,0.28762499327850327,10,0.7761233706261158,0.9484399121608394,0.33788755928461794,1.68135732216027,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8843021301766676,17,1.0
500,0.1052654298393627,11,0.9231466856164958,0.9490531151534842,0.9665610030226386,0.7145834598136502,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.904794078919636,18,1.0
500,0.01715745342114631,12,0.7913281466128185,0.8657189821961776,0.10165569752259491,0.039645458439085984,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.865624964732087,19,0.9957200218857254
500,0.07551466191936912,9,0.8811336100667317,0.7685233375959193,0.03546792825174003,0.6286153554095616,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8936400800851797,20,0.9995448955518027
500,0.1133910064990429,11,0.933724476236311,0.9475887541160869,0.6915279557299574,0.6079679821299565,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9037331800045731,21,1.0
500,0.06238450976279677,11,0.9310599740504484,0.9419761947757095,0.9118691216938908,1.254355052743198,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9025862812844587,22,0.999999707016291
500,0.11851294654588977,10,0.9957361540599624,0.9975017694089938,0.37882878713553897,0.6085484061977371,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9051480147082298,23,1.0
500,0.03967679932437176,10,0.9791757860580543,0.9770392204080591,0.14667347621880614,0.06293407829112109,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8809043382553436,24,0.9961620993168433
500,0.13670077843276685,10,0.8455272707781532,0.8983865027946503,0.40545805999571133,0.4677435845128414,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.9027624828141824,25,1.0
500,0.07804380389251699,12,0.7961508936395383,0.8303711395836818,0.06480370316241703,1.6671759247048334,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.900683369454768,26,1.0
500,0.20829871020695756,9,0.7521329567245729,0.9899060656789338,0.02248674281826726,1.002030225751546,hist,binary:logistic,aucpr,27.580278281911674,-1,42,0.8973836482652146,27,1.0
