iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.17524744762940653,14,3.0490244706636944,0.8931714190837337,164,Recall,CPU,False,25367.265836137336,42,0.9649431026350582,0.9650494673956406,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9648731028935503), np.float64(0.9649260207861482), np.float64(0.9648942700505895)]",5.798742302744281e-05,919.761054505903
500,0.019722129879825002,10,8.995130356118645,0.6561815878626692,169,Recall,CPU,False,21308.044009583195,42,0.9649536862135777,0.9649579199258962,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9648413521579916), np.float64(0.9650106894143048), np.float64(0.9648942700505895)]",7.20860935469098e-05,772.5826328430456
500,0.11253008031122193,11,6.811830301232155,0.5565271857961167,87,Recall,CPU,False,3561.0607397505137,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,129.11620047307534
500,0.05146399823380671,16,3.186063630121617,0.6536732728742805,158,Recall,CPU,False,21911.114912576722,42,0.9649663865078013,0.9649584491020219,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9648731028935503), np.float64(0.9650001058357852), np.float64(0.9649366043646678)]",5.4253468166281706e-05,794.4486523526838
500,0.04590818892919081,14,8.70902509135568,0.8664961474441712,60,Recall,CPU,False,25042.698229501006,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,907.992949655083
500,0.015011022720559685,13,3.3049907883278116,0.5424285352137457,218,Recall,CPU,False,23454.091865166516,42,0.9648796011639409,0.9648732517443858,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.964661431323159), np.float64(0.9647037656372373)]",0.0001614082070398696,850.393590138237
500,0.11548192154023798,16,7.728738592651091,0.9445248939855022,223,Recall,CPU,False,12179.373879313709,42,0.9649409859193543,0.9649452196974796,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.964661431323159), np.float64(0.9650106894143048)]",0.00013977739620239712,441.5972077881993
500,0.03733209831741778,14,4.7462343679691354,0.9782532761493121,186,Recall,CPU,False,12721.869306793817,42,0.964862667617527,0.9648811893582682,"[np.float64(0.9649263919904325), np.float64(0.9650110597225016), np.float64(0.9646720149016785), np.float64(0.964904853629109), np.float64(0.9647990178439134)]",0.00011684213609450962,461.26689429154027
500,0.018369626790841604,15,4.71129259570923,0.9086848479347072,172,Recall,CPU,False,3560.7482912302353,42,0.9649685032235051,0.9650150709474709,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9648413521579916), np.float64(0.9650106894143048), np.float64(0.9649683551002265)]",6.567983146991537e-05,129.10487177953988
500,0.011272419232980807,15,5.26903477026898,0.5572965029126276,163,Recall,CPU,False,21185.40742911253,42,0.9649409859193543,0.9649383404092458,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9648731028935503), np.float64(0.9648836864720699), np.float64(0.9649260207861482)]",5.9893176303013865e-05,768.1361011867247
