iter	Passed	Remaining
597	127302	85577
598	127492	85349
599	127723	85149
600	127932	84933
601	128118	84702
602	128360	84509
603	128594	84310
604	128786	84083
605	128979	83857
606	129160	83624
607	129368	83408
608	129733	83293
609	129962	83090
610	130214	82902
611	130446	82701
612	130623	82465
613	130798	82228
614	130969	81988
615	131130	81743
616	131301	81505
617	131484	81273
618	131650	81031
619	131828	80797
620	132000	80560
621	132151	80310
622	132322	80073
623	132503	79841
624	132718	79630
625	132892	79395
626	133101	79181
627	133303	78963
628	133465	78721
629	133681	78511
630	133928	78319
631	134143	78108
632	134309	77869
633	134464	77624
634	134620	77380
635	134797	77147
636	134961	76908
637	135198	76711
638	135379	76482
639	135572	76259
640	135778	76044
641	135935	75801
642	136091	75559
643	136279	75334
644	136458	75105
645	136627	74870
646	136844	74661
647	137022	74431
648	137226	74216
649	137412	73991
650	137591	73762
651	137752	73524
652	137921	73290
653	138131	73078
654	138313	72852
655	138505	72630
656	138739	72431
657	138924	72206
658	139100	71977
659	139301	71761
660	139481	71534
661	139713	71334
662	139898	71109
663	140129	70908
664	140313	70684
665	140501	70461
666	140710	70249
667	140956	70056
668	141116	69819
669	141292	69591
670	141468	69364
671	141682	69154
672	141882	68938
673	142093	68727
674	142292	68511
675	142484	68291
676	142632	68050
677	142832	67834
678	143044	67625
679	143262	67417
680	143425	67184
681	143594	66954
682	143781	66733
683	143946	66501
684	144154	66289
685	144328	66062
686	144504	65836
687	144674	65608
688	144839	65377
689	145027	65157
690	145327	64987
691	145572	64792
692	145791	64585
693	145997	64373
694	146167	64145
695	146349	63922
696	146530	63699
697	146698	63471
698	146896	63255
699	147064	63027
700	147233	62799
701	147433	62585
702	147603	62358
703	147788	62138
704	147956	61910
705	148123	61683
706	148353	61481
707	148520	61254
708	148712	61037
709	148863	60803
710	149019	60572
711	149177	60341
712	149346	60115
713	149504	59885
714	149692	59667
715	149880	59449
716	150039	59220
717	150229	59003
718	150450	58799
719	150629	58578
720	150862	58378
721	151041	58157
722	151264	57953
723	151444	57732
724	151640	57518
725	151812	57295
726	151956	57061
727	152112	56833
728	152292	56613
729	152474	56394
730	152627	56165
731	152816	55949
732	153009	55734
733	153174	55510
734	153428	55317
735	153671	55121
736	153850	54901
737	154051	54690
738	154213	54465
739	154467	54272
740	154627	54046
741	154818	53831
742	154980	53606
743	155216	53407
744	155418	53196
745	155619	52985
746	155789	52764
747	156037	52568
748	156286	52373
749	156456	52152
750	156660	51941
751	156819	51717
752	157000	51499
753	157201	51288
754	157417	51082
755	157637	50877
756	157789	50650
757	157964	50431
758	158171	50223
759	158332	49999
760	158502	49779
761	158669	49558
762	158866	49346
763	159062	49134
764	159201	48904
765	159349	48678
766	159507	48455
767	159716	48247
768	159876	48025
769	160164	47841
770	160375	47634
771	160539	47413
772	160746	47205
773	160959	46998
774	161115	46775
775	161297	46560
776	161464	46340
777	161645	46125
778	161823	45908
779	162010	45695
780	162182	45477
781	162361	45261
782	162512	45038
783	162690	44822
784	162880	44610
785	163043	44390
786	163225	44176
787	163410	43963
788	163602	43751
789	163741	43526
790	163923	43312
791	164108	43099
792	164264	42878
793	164451	42666
794	164603	42444
795	164805	42236
796	165000	42026
797	165308	41845
798	165516	41638
799	165733	41433
800	165938	41225
801	166133	41015
802	166308	40800
803	166487	40586
804	166671	40373
805	166815	40151
806	167002	39939
807	167189	39728
808	167401	39522
809	167609	39315
810	167782	39100
811	167949	38884
812	168117	38669
813	168362	38470
814	168534	38256
815	168815	38066
816	168974	37848
817	169150	37634
818	169322	37420
819	169479	37202
820	169791	37019
821	169932	36798
822	170154	36594
823	170338	36383
824	170564	36180
825	170777	35974
826	171013	35774
827	171207	35564
828	171389	35352
829	171586	35144
830	171802	34939
831	171982	34727
832	172138	34510
833	172306	34295
834	172497	34086
835	172645	33868
836	172790	33649
837	172951	33434
838	173108	33218
839	173273	33004
840	173477	32797
841	173685	32591
842	173866	32380
843	174030	32166
844	174200	31953
845	174366	31740
846	174573	31534
847	174756	31324
848	174937	31113
849	175202	30918
850	175397	30710
851	175635	30509
852	175827	30300
853	176039	30095
854	176236	29888
855	176384	29672
856	176549	29459
857	176710	29245
858	176852	29029
859	177028	28818
860	177232	28612
861	177390	28398
862	177590	28192
863	177735	27976
864	177917	27767
865	178084	27555
866	178246	27343
867	178429	27134
868	178589	26921
869	178731	26707
870	178925	26499
871	179111	26291
872	179281	26080
873	179622	25895
874	179815	25687
875	179977	25476
876	180154	25266
877	180320	25055
878	180521	24849
879	180737	24645
880	180976	24445
881	181204	24242
882	181339	24027
883	181503	23817
884	181704	23611
885	181839	23397
886	182007	23187
887	182217	22982
888	182406	22775
889	182596	22568
890	182790	22361
891	182974	22153
892	183166	21947
893	183349	21739
894	183504	21528
895	183717	21324
896	183869	21113
897	184043	20904
898	184261	20701
899	184411	20490
900	184580	20281
901	184819	20080
902	185010	19873
903	185198	19667
904	185429	19464
905	185647	19261
906	185851	19056
907	186055	18851
908	186252	18645
909	186408	18435
910	186637	18233
911	186817	18026
912	186999	17819
913	187217	17615
914	187428	17411
915	187610	17204
916	187770	16995
917	187917	16785
918	188106	16579
919	188272	16371
920	188472	16166
921	188716	15965
922	188891	15757
923	189100	15553
924	189267	15345
925	189428	15137
926	189664	14935
927	189880	14732
928	190062	14525
929	190276	14321
930	190470	14116
931	190695	13913
932	190892	13708
933	191105	13504
934	191310	13299
935	191529	13096
936	191742	12891
937	191938	12686
938	192131	12481
939	192335	12276
940	192511	12070
941	192848	11873
942	193097	11671
943	193330	11468
944	193598	11267
945	193799	11062
946	193964	10855
947	194119	10647
948	194325	10443
949	194523	10238
950	194698	10031
951	194844	9824
952	195079	9620
953	195342	9419
954	195582	9215
955	195772	9010
956	195961	8804
957	196123	8598
958	196269	8391
959	196449	8185
960	196614	7979
961	196778	7772
962	196960	7567
963	197143	7362
964	197380	7158
965	197543	6952
966	197764	6748
967	197939	6543
968	198134	6338
969	198321	6133
970	198520	5929
971	198718	5724
972	198931	5520
973	199082	5314
974	199277	5109
975	199443	4904
976	199629	4699
977	199831	4495
978	200081	4291
979	200260	4086
980	200468	3882
981	200715	3679
982	200889	3474
983	201080	3269
984	201256	3064
985	201463	2860
986	201661	2656
987	201872	2451
988	202016	2246
989	202166	2042
990	202332	1837
991	202499	1633
992	202694	1428
993	202881	1224
994	203052	1020
995	203212	816
996	203367	611
997	203549	407
998	203754	203
999	203904	0
