iter	Logloss
0	0.5156123119
1	0.3926863261
2	0.3046513881
3	0.2415821539
4	0.200805242
5	0.1710877397
6	0.1509296149
7	0.1364231468
8	0.125694089
9	0.1176457714
10	0.1109896678
11	0.1061406856
12	0.1027445711
13	0.09990790834
14	0.09725148564
15	0.09497994816
16	0.09194623511
17	0.09041227164
18	0.08901315897
19	0.08623418229
20	0.08475068081
21	0.08352034801
22	0.08234656601
23	0.0806998812
24	0.07977809406
25	0.07912368716
26	0.07808886916
27	0.07689148048
28	0.07559604193
29	0.07482519515
30	0.07434326443
31	0.07370301045
32	0.07291453405
33	0.0722481289
34	0.0715769997
35	0.07082185685
36	0.06981026309
37	0.06902564816
38	0.06789229798
39	0.0673196008
40	0.06674830239
41	0.06619057685
42	0.06570831767
43	0.06522632377
44	0.06449578161
45	0.06402147241
46	0.06355336317
47	0.06279550476
48	0.06241813009
49	0.06214979485
50	0.06176326785
51	0.06101887202
52	0.06068042913
53	0.06042624044
54	0.06008089767
55	0.05977304475
56	0.05896101141
57	0.0586382453
58	0.05818132676
59	0.05752221155
60	0.05724252276
61	0.05697417661
62	0.05671039545
63	0.05624610571
64	0.05601137327
65	0.05583030061
66	0.05542617284
67	0.05502484446
68	0.05480985077
69	0.05401914918
70	0.0536544082
71	0.05341218498
72	0.05301236836
73	0.05253721016
74	0.05241034962
75	0.05225169999
76	0.05206713572
77	0.05177280935
78	0.05154548205
79	0.05111095109
80	0.05027417342
81	0.05012484858
82	0.04991742865
83	0.04970989546
84	0.04947909775
85	0.04929548511
86	0.04884911321
87	0.04884743385
88	0.0486809483
89	0.04842331781
90	0.0480956925
91	0.047820473
92	0.04770708708
93	0.04759397527
94	0.04741098741
95	0.04697488595
96	0.04675630651
97	0.04651975707
98	0.04633295385
99	0.04608019433
100	0.04582615765
101	0.04556608727
102	0.04534498825
103	0.04521672612
104	0.04478007632
105	0.04423777126
106	0.04388392957
107	0.04369780039
108	0.04355622758
109	0.04340644444
110	0.0432739907
111	0.04309915373
112	0.04294538654
113	0.04271556091
114	0.04235035807
115	0.04217982299
116	0.04207760687
117	0.04193839672
118	0.04166609826
119	0.04145653525
120	0.0413370386
121	0.04125997933
122	0.04110509092
123	0.04095492205
124	0.04068577012
125	0.04059179009
126	0.04036071854
127	0.03992543401
128	0.03978397777
129	0.03972025029
130	0.03950589758
131	0.03937682048
132	0.03923802872
133	0.03904965616
134	0.03891548944
135	0.03872022671
136	0.03861780532
137	0.03840330166
138	0.03831937677
139	0.03815953708
140	0.03801240064
141	0.03790002719
142	0.0377900225
143	0.03757076365
144	0.03742883573
145	0.03736579507
146	0.03711481067
147	0.03699263394
148	0.03690912573
149	0.03673412608
150	0.03663109333
151	0.036530851
152	0.0362241244
153	0.03605166119
154	0.03587253866
155	0.0357347303
156	0.03533587157
157	0.03517771663
158	0.03507466733
159	0.03490151901
160	0.03471066106
161	0.03465007996
162	0.03460111738
163	0.0343563551
164	0.0342144478
165	0.03405156505
166	0.03394705884
167	0.03387980236
