n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,device,random_state,scale_pos_weight,reg_alpha,reg_lambda,colsample_bytree,subsample,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,264,16,0.018293192691062665,30,cpu,42,27.46147358274595,0.48079858062459807,0.26484858878890344,0.9232861666339274,0.9422738362625773,0.5634378125206297,0.8468654096822908,"[np.float64(0.6080019060097432), np.float64(0.5469599641624721), np.float64(0.535351567389674)]",0.03186594357919345
300,binary,-1,gbdt,332,19,0.027520189729079186,17,cpu,42,27.46147358274595,0.46525859511456985,0.19942834493664757,0.9874646372937979,0.9001351298079069,0.5991882894882278,0.9296229678515914,"[np.float64(0.5778926173009307), np.float64(0.6728850695686736), np.float64(0.546787181595079)]",0.05363642157018502
300,binary,-1,gbdt,189,14,0.0205651128068471,37,cpu,42,27.46147358274595,0.35912106922397735,0.3385650559754896,0.9642486471979158,0.9421881155839729,0.5470175631074912,0.7971981940787245,"[np.float64(0.6174680974998533), np.float64(0.5123912657055649), np.float64(0.511193326117055)]",0.049818451146414214
300,binary,-1,gbdt,156,11,0.021814071668323196,86,cpu,42,27.46147358274595,0.13677684081328306,0.19863922861561562,0.9359602339267425,0.9888345329115994,0.5397748788272795,0.7700469745585189,"[np.float64(0.6030943253552679), np.float64(0.4981518355572643), np.float64(0.5180784755693065)]",0.045506644035059746
300,binary,-1,gbdt,476,16,0.010877056580906526,46,cpu,42,27.46147358274595,0.025947849954865987,0.4610061076043692,0.9735777330204797,0.8022789146721779,0.6387260411845758,0.9893301421664743,"[np.float64(0.6093538807008188), np.float64(0.6453410904146297), np.float64(0.6614831524382787)]",0.021789667279187075
300,binary,-1,gbdt,267,18,0.01813505639817653,30,cpu,42,27.46147358274595,0.014171143638740946,0.3919634691868299,0.9260838496414024,0.8257040671316935,0.5685163283932932,0.8573178636390401,"[np.float64(0.6117140452986644), np.float64(0.5495872030030606), np.float64(0.5442477368781549)]",0.03062307990173632
300,binary,-1,gbdt,341,20,0.02705954157791235,92,cpu,42,27.46147358274595,0.10056840902213282,0.32809409878755297,0.933501485179586,0.8805845803609108,0.6161842767646117,0.9204995163632071,"[np.float64(0.6173515624378126), np.float64(0.680315202265529), np.float64(0.5508860655904937)]",0.05284567009694921
300,binary,-1,gbdt,453,19,0.01577108427466442,81,cpu,42,27.46147358274595,0.1935151843718808,0.30452023280801516,0.8882507791955501,0.8256522144211299,0.6588162370274108,0.9951765492194456,"[np.float64(0.6242201785330861), np.float64(0.6681682132555402), np.float64(0.6840603192936059)]",0.02530882857934928
300,binary,-1,gbdt,304,15,0.011225386119055355,37,cpu,42,27.46147358274595,0.12886280315320087,0.42599227340396223,0.8956634735351389,0.9952669948529098,0.5783122056697431,0.8906488728917233,"[np.float64(0.6069923890794258), np.float64(0.5758477402631309), np.float64(0.5520964876666726)]",0.02247880765350584
300,binary,-1,gbdt,181,17,0.01937101632495549,73,cpu,42,27.46147358274595,0.1331212710598107,0.3965685275124184,0.8315791054905396,0.9314258837712532,0.5541551267809731,0.7915352453947212,"[np.float64(0.626045222561582), np.float64(0.5169398778056067), np.float64(0.5194802799757308)]",0.05084455273547226
300,binary,-1,gbdt,500,13,0.014335122110458641,68,cpu,42,27.46147358274595,0.2651683308453094,0.044070953651891454,0.8603208808838464,0.8513904557496155,0.6112727173650946,0.9612167364151826,"[np.float64(0.6050212240319515), np.float64(0.6210200864251607), np.float64(0.6077768416381715)]",0.0069836361012860495
300,binary,-1,gbdt,491,18,0.010024391518019631,56,cpu,42,27.46147358274595,0.0054997802834750725,0.46757702575932075,0.8662949087211068,0.8003615456113456,0.6477406851671819,0.9900790905220663,"[np.float64(0.6259372920512254), np.float64(0.6576630926751768), np.float64(0.6596216707751433)]",0.015438047600438761
300,binary,-1,gbdt,441,20,0.01460458234912284,65,cpu,42,27.46147358274595,0.2492411010295824,0.1047101051008302,0.8736051642110952,0.8086814321405665,0.6565030664589168,0.9946667084432192,"[np.float64(0.6230380115231627), np.float64(0.6666111829881749), np.float64(0.6798600048654129)]",0.024273651650482734
300,binary,-1,gbdt,411,20,0.014819472961928554,71,cpu,42,27.46147358274595,0.24898577054013468,0.047289504368239865,0.8052530836795562,0.846454755352773,0.6305884004586959,0.9635687422853684,"[np.float64(0.6236182875837408), np.float64(0.6656319976171159), np.float64(0.6025149161752311)]",0.026234561778343594
300,binary,-1,gbdt,427,20,0.015465673710635664,98,cpu,42,27.46147358274595,0.2382183899297555,0.12231408304737892,0.8846632985009497,0.8359189785024184,0.6360698275010076,0.9675068534955003,"[np.float64(0.6279360594645482), np.float64(0.6672091718544302), np.float64(0.6130642511840445)]",0.022840559617396797
300,binary,-1,gbdt,428,18,0.013566259714689036,81,cpu,42,27.46147358274595,0.3308185619036633,0.12889743933707243,0.8476131891580618,0.8861749361823399,0.6555649341345456,0.991662499290869,"[np.float64(0.6285490806388635), np.float64(0.6627665321026479), np.float64(0.6753791896621254)]",0.019784877015088746
300,binary,-1,gbdt,405,11,0.024228127775261385,59,cpu,42,27.46147358274595,0.19766190909516657,0.2839642786839135,0.8927776842453691,0.8591179538190375,0.564741966255293,0.8757187618095764,"[np.float64(0.6128903068208658), np.float64(0.5431066639807075), np.float64(0.5382289279643058)]",0.034104204057322215
