n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.032200331913455865,9,0.904850989561933,0.9992704597274773,0.14735709315715884,1.691801660863344,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,11248.106507378909,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,407.83150889220354
500,0.26654184283576876,10,0.7041719216867892,0.9752941801471352,0.002036724472849126,1.4901618664254657,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,4740.141919208544,-1,42,0.6581115673455701,0.31749337539330946,"[np.float64(0.6275995639611799), np.float64(0.7246393683787188), np.float64(0.6727240014393667), np.float64(0.6489956183984928), np.float64(0.616599284550092)]",0.03841047783893939,171.86708091764729
500,0.18497337655611007,8,0.7123116706618274,0.5279699931611334,0.018912879771105548,0.4708311237442542,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,18004.23616130761,-1,42,0.6092750080115215,0.2813563955529036,"[np.float64(0.5796458772106216), np.float64(0.628319239683766), np.float64(0.641036767351777), np.float64(0.6202294519823043), np.float64(0.5771437038291387)]",0.026083703953085697,652.7938542634488
500,0.03170653043556939,14,0.7178375655848377,0.6548677845865083,0.0038196462123096663,0.960679807316156,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,8406.522626756803,-1,42,0.4420169877099801,0.19936784989522177,"[np.float64(0.4521468561812736), np.float64(0.46234931789558353), np.float64(0.43265668987998224), np.float64(0.4494422454120187), np.float64(0.4134898291810427)]",0.017161388563663362,304.8019509023649
500,0.03383461581819627,8,0.7623034536811915,0.6741564788902595,0.13109266742318854,1.343789507293816,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,13205.287317001208,-1,42,0.6397685535821044,0.5320007946172942,"[np.float64(0.5614105644162689), np.float64(0.5808206419930784), np.float64(0.5468111677920539), np.float64(0.9650106894143048), np.float64(0.5447897042948162)]",0.1631314409011151,478.7945640730464
500,0.03243006083234124,13,0.5520516388435615,0.7439648623547133,0.0014821904672749847,1.3625759561635715,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,27341.78535655325,-1,42,0.5829890658713429,0.3803973024724705,"[np.float64(0.5105993417083832), np.float64(0.9650110597225016), np.float64(0.46620663378701604), np.float64(0.49785153356052747), np.float64(0.4752767605782867)]",0.19166092586307426,991.3527730604937
500,0.06268877477285188,12,0.5360201354036891,0.7823162267896595,0.10157213535226654,4.806343864319739,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,26280.303543158938,-1,42,0.6361976283150728,0.4011427543823807,"[np.float64(0.5753384063416132), np.float64(0.5791167038851905), np.float64(0.5356984103465063), np.float64(0.5455623055267447), np.float64(0.9452723154753085)]",0.15543750745905585,952.8657859987832
500,0.028131071621483972,9,0.7492647277287264,0.8288066322506011,0.8566777933350582,0.6108834268515417,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,17813.8219485636,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,645.8898552973146
500,0.24161544219890593,9,0.5125464182329853,0.8106984361059362,0.001193482861190711,0.12240089690857547,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,12956.682967343708,-1,42,0.8333007981104261,0.6252842343952534,"[np.float64(0.769724935705441), np.float64(0.9342237556489252), np.float64(0.9350909129394831), np.float64(0.7827826344643651), np.float64(0.7446817517939166)]",0.08365880867426426,469.780719212005
500,0.012000540181379735,13,0.9709944141821844,0.6142437171607892,0.14544245384806356,1.5253057647839392,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,4434.447533614333,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,160.7832773943631
500,0.09989201236852406,15,0.8445676623747387,0.5155472327924572,0.008337573827550494,3.3282637000485615,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,8818.697893709013,-1,42,0.45060441534735923,0.13801352547784615,"[np.float64(0.47276344894006583), np.float64(0.483293998116143), np.float64(0.44580149440128697), np.float64(0.43387380140973264), np.float64(0.41728933386956796)]",0.02438240241475749,319.74651609997323
500,0.09490785494429611,15,0.8514668863228763,0.5179870080871921,0.00796880230544342,3.541618044002413,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,8429.21549884834,-1,42,0.4474315079712275,0.13105377986764355,"[np.float64(0.45232677511192015), np.float64(0.48036237789325514), np.float64(0.4537497618694833), np.float64(0.43825540291683424), np.float64(0.4124632220646445)]",0.022159910152060047,305.62474434409825
500,0.09027492006219964,15,0.6255358585784057,0.604025234630969,0.007311832822264235,3.3258515375213826,hist,binary:logistic,<function eval_function at 0x00000196BCBD1B20>,7859.836510998786,-1,42,0.4967423659740401,0.17607242868250794,"[np.float64(0.5001640437308836), np.float64(0.5038788404754093), np.float64(0.49698368012192284), np.float64(0.5081916897741464), np.float64(0.4744935757678386)]",0.011737044437315441,284.98031929408063
